Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1996/6/1,DROUGHT,2,0,0,0,0,0,0,0,0,0
1996/7/1,DROUGHT,4,0,0,0,0,0,0,0,0,0
1996/9/1,FLOOD,15,135,2,0,0,2810,1345191,0,0,0
1996/10/1,FLOOD,2,34,0,0,0,479,12104,0,0,0
1996/11/1,FLOOD,17,0,0,0,0,0,0,0,0,0
1996/11/1,STORM,1,0,0,0,0,0,0,0,0,0
1997/6/1,DROUGHT,3,0,0,0,0,0,0,0,0,0
1997/7/1,DROUGHT,4,0,0,0,0,0,0,0,0,0
1997/9/1,FLOOD,4,0,0,0,0,0,0,0,0,0
1997/12/1,DROUGHT,14,0,0,0,0,0,0,0,0,0
1998/6/1,DROUGHT,2,0,0,0,0,0,0,0,0,0
1998/7/1,DROUGHT,4,0,0,0,0,0,0,0,0,0
1998/8/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1998/9/1,FLOOD,11,0,0,0,0,0,0,0,0,0
1999/6/1,DROUGHT,2,0,0,0,0,0,0,0,0,0
1999/7/1,DROUGHT,4,0,0,0,0,0,0,0,0,0
1999/9/1,FLOOD,13,3,0,0,1,2,7849,0,0,675
1999/10/1,FLOOD,8,0,0,0,0,0,0,0,0,0
2000/2/1,LIGHTNING,1,3,0,0,0,0,0,0,0,0
2000/3/1,LIGHTNING,1,1,0,0,0,0,0,0,0,0
2000/3/1,STORM,4,4,0,0,56,85,0,0,0,0
2000/4/1,LIGHTNING,1,1,0,0,0,0,0,0,0,0
2000/4/1,STORM,4,2,16,0,75,591,0,0,0,0
2000/5/1,STORM,3,0,0,0,152,0,33,0,0,0
2000/6/1,DROUGHT,2,0,0,0,0,0,0,0,0,0
2000/6/1,STORM,1,0,0,0,0,0,33,0,0,0
2000/7/1,DROUGHT,5,0,0,0,0,0,0,0,0,0
2000/7/1,FLOOD,5,3,0,0,7,0,30185,0,0,3161
2000/7/1,STORM,1,0,4,0,26,0,0,0,0,0
2000/9/1,FIRE,1,29,0,0,0,0,0,0,0,0
2000/9/1,FLOOD,47,70,0,0,659,383,677759,0,0,77438
2000/9/1,STORM,2,0,3,2,230,0,0,0,0,0
2000/10/1,FLOOD,124,274,725,0,42,6861,2597638,0,0,0
2000/10/1,STORM,1,1,0,0,58,0,0,0,0,0
2001/1/1,FIRE,1,0,0,0,0,0,489,0,0,0
2001/1/1,STORM,1,0,0,0,0,0,912,0,0,0
2001/3/1,LIGHTNING,2,2,0,0,0,0,0,0,0,0
2001/4/1,LIGHTNING,1,1,0,0,0,0,0,0,0,0
2001/4/1,STORM,1,0,0,0,17,0,0,0,0,0
2001/5/1,LIGHTNING,1,1,0,0,0,0,0,0,0,0
2001/6/1,DROUGHT,2,0,0,0,0,0,0,0,0,0
2001/6/1,LIGHTNING,1,1,0,0,0,0,0,0,0,0
2001/7/1,DROUGHT,5,0,0,0,0,0,0,0,0,0
2001/7/1,FLOOD,1,0,0,0,0,0,0,0,0,0
2001/7/1,LIGHTNING,1,0,0,0,0,1,0,0,0,0
2001/8/1,DROUGHT,49,0,0,0,0,0,20283,0,0,0
2001/8/1,FLOOD,6,0,0,0,5,7,0,0,0,0
2001/8/1,RIVER BANK COLLAPSE,1,0,0,0,0,0,0,0,0,0
2001/8/1,STORM,3,0,0,0,0,48,0,0,0,0
2001/9/1,FLOOD,36,17,0,0,143,27,496521,0,0,3864
2001/9/1,RIVER BANK COLLAPSE,1,0,0,0,0,0,0,0,0,0
2001/9/1,STORM,1,0,0,0,2,0,0,0,0,0
2001/10/1,DROUGHT,7,0,0,0,0,0,0,0,0,0
2001/10/1,FLOOD,33,2,0,0,0,1642,93505,0,0,9025
2001/10/1,PEST OUTBREAK,4,0,0,0,0,0,0,0,0,0
2002/3/1,FIRE,1,0,0,0,6,0,30,0,0,0
2002/3/1,LIGHTNING,1,0,1,0,0,0,0,0,0,0
2002/3/1,STORM,4,0,0,0,21,9,102,0,0,0
2002/4/1,LIGHTNING,2,2,0,0,0,0,0,0,0,0
2002/4/1,RIVER BANK COLLAPSE,1,0,0,0,0,0,0,0,0,0
2002/4/1,STORM,2,0,6,0,2,76,397,0,0,0
2002/5/1,DROUGHT,3,0,0,0,0,0,0,0,0,0
2002/5/1,RIVER BANK COLLAPSE,1,0,0,0,0,0,0,0,0,0
2002/6/1,DROUGHT,7,0,0,0,0,0,287564,0,0,0
2002/6/1,RIVER BANK COLLAPSE,1,0,0,0,0,0,0,0,0,0
2002/6/1,STORM,2,0,0,0,57,9,224,0,0,0
2002/7/1,DROUGHT,41,0,0,0,0,0,480727,0,0,0
2002/8/1,DROUGHT,12,0,0,0,0,0,74272,0,0,0
2002/8/1,FLOOD,11,0,0,0,0,0,60355,0,0,0
2002/9/1,FLOOD,44,10,0,0,37,886,843855,0,0,70404
2002/9/1,RIVER BANK COLLAPSE,1,0,0,0,0,0,0,0,0,0
2002/9/1,STORM,2,0,0,0,6,55,0,0,0,0
2002/10/1,DROUGHT,6,0,0,0,0,0,0,0,0,0
2002/10/1,FLOOD,19,1,0,0,0,487,52286,0,0,18800
2002/11/1,DROUGHT,8,0,0,0,0,0,0,0,0,0
2002/11/1,FLOOD,3,0,0,0,0,0,3825,0,0,0
2002/11/1,PEST OUTBREAK,6,0,0,0,0,0,0,0,0,0
2003/2/1,FIRE,1,0,0,0,5,0,24,0,0,0
2003/3/1,FIRE,1,0,0,0,0,0,5,0,0,0
2003/3/1,STORM,2,0,0,0,10,1056,5121,0,0,0
2003/4/1,FIRE,1,0,0,0,16,0,76,0,0,0
2003/4/1,LIGHTNING,1,2,0,0,0,0,0,0,0,0
2003/5/1,LIGHTNING,2,2,0,0,0,0,0,0,0,0
2003/5/1,STORM,1,0,0,0,4,10,70,0,0,0
2003/6/1,DROUGHT,2,0,0,0,0,0,0,0,0,0
2003/6/1,RIVER BANK COLLAPSE,2,0,0,0,0,210,0,0,0,0
2003/7/1,DROUGHT,24,0,0,0,0,0,0,0,0,0
2003/7/1,FLOOD,15,0,0,0,0,348,88665,0,0,0
2003/7/1,PEST OUTBREAK,5,0,0,0,0,0,0,0,0,0
2003/8/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
2003/8/1,STORM,1,0,0,0,0,6,0,0,0,0
2003/9/1,DROUGHT,6,0,0,0,0,0,0,0,0,0
2003/9/1,FLOOD,22,7,0,0,0,0,8240,0,0,1495
2003/10/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
2003/10/1,FLOOD,10,0,0,0,11,9,94,0,0,0
2003/11/1,FIRE,1,0,0,0,1,0,3,0,0,0
2004/1/1,FIRE,1,0,0,0,2,0,0,0,0,0
2004/2/1,DROUGHT,1,0,0,0,0,0,1579,0,0,0
2004/2/1,FIRE,3,0,0,0,26,0,318,0,0,0
2004/2/1,STORM,1,0,0,0,0,0,32,0,0,0
2004/3/1,STORM,1,0,0,0,16,0,76,0,0,0
2004/4/1,LIGHTNING,2,1,0,0,0,1,0,0,0,0
2004/4/1,STORM,10,0,18,0,138,38,795,0,0,0
2004/5/1,STORM,3,0,7,0,20,35,268,0,0,0
2004/6/1,DROUGHT,19,0,0,0,0,0,301622,0,0,0
2004/6/1,STORM,3,0,0,0,5,0,25,0,0,0
2004/7/1,DROUGHT,359,0,0,0,0,0,0,0,0,0
2004/7/1,FLOOD,3,0,0,0,0,0,0,0,0,0
2004/7/1,STORM,1,0,0,0,17,0,81,0,0,0
2004/8/1,DROUGHT,77,0,0,0,0,0,133552,0,0,0
2004/8/1,LIGHTNING,1,0,0,0,0,0,0,0,0,0
2004/8/1,STORM,1,0,0,0,17,0,81,0,0,0
2004/9/1,DROUGHT,8,0,0,0,0,0,13425,0,0,0
2004/9/1,FIRE,1,0,0,0,4,0,19,0,0,0
2004/9/1,FLOOD,37,2,3,0,0,0,8430,0,0,1648
2004/9/1,STORM,2,0,0,0,29,49,355,0,0,0
2004/10/1,DROUGHT,2,0,0,0,0,0,0,0,0,0
2004/10/1,FLOOD,5,0,0,0,0,0,0,0,0,0
2004/11/1,DROUGHT,31,0,0,0,0,0,0,0,0,0
2004/12/1,DROUGHT,35,0,0,0,0,0,5149,0,0,0
2004/12/1,FLOOD,1,0,0,0,0,0,0,0,0,0
2005/1/1,DROUGHT,4,0,0,0,0,0,7906,0,0,0
2005/1/1,EPIDEMIC,1,1,0,0,0,0,0,0,0,0
2005/1/1,FIRE,7,0,0,0,6,0,133,0,0,0
2005/1/1,STORM,1,0,0,0,0,0,78,0,0,0
2005/2/1,FIRE,3,0,0,0,0,0,2056,0,0,0
2005/2/1,STORM,1,0,0,0,0,0,31,0,0,0
2005/3/1,EPIDEMIC,2,2,0,0,0,0,0,0,0,0
2005/3/1,FIRE,5,0,0,0,5,0,64,0,0,0
2005/3/1,STORM,1,0,0,0,3,0,0,0,0,0
2005/4/1,EPIDEMIC,1,1,0,0,0,0,0,0,0,0
2005/4/1,FIRE,8,0,0,0,5,0,581,0,0,0
2005/4/1,STORM,3,0,0,0,15,0,52,0,0,0
2005/5/1,DROUGHT,1,0,0,0,0,0,2954,0,0,0
2005/5/1,FIRE,5,0,0,0,21,0,92,0,0,0
2005/5/1,LIGHTNING,3,4,0,0,0,0,0,0,0,0
2005/5/1,STORM,15,0,3,0,248,1,394,0,0,0
2005/6/1,DROUGHT,6,0,0,0,0,0,34301,0,0,0
2005/6/1,FIRE,12,0,0,0,290,0,0,0,0,0
2005/6/1,LIGHTNING,1,7,0,0,0,0,0,0,0,0
2005/6/1,RIVER BANK COLLAPSE,1,0,0,0,0,0,126,0,0,0
2005/6/1,STORM,2,0,0,0,0,0,18,0,0,0
2005/7/1,DROUGHT,14,0,0,0,0,0,681785,0,0,0
2005/7/1,FIRE,9,0,0,0,10,0,82,0,0,0
2005/7/1,FLOOD,1,0,0,0,0,0,0,0,0,0
2005/8/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
2005/8/1,FIRE,4,0,0,0,4,0,0,0,0,0
2005/8/1,FLOOD,9,0,0,0,2,504,64945,0,0,0
2005/8/1,PEST OUTBREAK,2,0,0,0,0,0,0,0,0,0
2005/8/1,RIVER BANK COLLAPSE,1,0,0,0,0,0,64,0,0,0
2005/9/1,DROUGHT,8,0,0,0,0,0,9125,0,0,0
2005/9/1,FLOOD,38,9,0,0,1,443,6643,0,0,3868
2005/9/1,PEST OUTBREAK,6,0,0,0,0,0,0,0,0,0
2005/9/1,RIVER BANK COLLAPSE,1,0,0,0,0,0,22,0,0,0
2005/9/1,STORM,6,5,0,0,233,29,656,0,0,0
2005/10/1,DROUGHT,3,0,0,0,0,0,18146,0,0,0
2005/10/1,FIRE,1,0,0,0,13,0,0,0,0,0
2005/10/1,FLOOD,1,0,0,0,0,0,979,0,0,0
2005/10/1,RIVER BANK COLLAPSE,3,0,0,0,0,5,228,0,5,0
2005/10/1,STORM,2,0,0,0,13,74,23,0,0,0
2005/11/1,DROUGHT,21,0,0,0,0,0,262918,0,0,0
2005/11/1,FIRE,1,0,0,0,1,0,0,0,0,0
2005/11/1,STORM,1,0,0,0,2,0,0,0,0,0
2005/12/1,DROUGHT,9,0,0,0,0,0,7200,0,0,0
2005/12/1,FIRE,2,0,0,0,2,0,74,0,0,0
2006/1/1,FIRE,11,0,0,0,9,0,350,0,0,0
2006/1/1,RIVER BANK COLLAPSE,1,0,0,0,0,0,124,0,0,0
2006/1/1,STORM,4,0,0,0,1,0,111,0,0,0
2006/2/1,FIRE,4,0,0,0,5,0,30,0,0,0
2006/3/1,EPIDEMIC,2,2,0,0,0,0,0,0,0,0
2006/3/1,FIRE,5,0,0,0,5,0,19,0,0,0
2006/3/1,STORM,2,0,0,0,0,0,95,0,0,0
2006/4/1,FIRE,2,0,0,0,1,0,530,0,0,0
2006/4/1,RIVER BANK COLLAPSE,1,0,0,0,0,0,63,0,0,0
2006/4/1,STORM,5,0,0,0,8,0,151,0,0,0
2006/5/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
2006/5/1,FIRE,3,0,0,0,13,0,13,0,0,0
2006/5/1,LIGHTNING,1,6,0,0,0,0,0,0,0,0
2006/5/1,RIVER BANK COLLAPSE,1,0,0,0,0,2,11,0,0,0
2006/5/1,STORM,10,0,0,0,35,0,143,0,0,0
2006/6/1,DROUGHT,4,0,0,0,0,0,0,0,0,0
2006/6/1,FIRE,4,0,3,0,60,0,0,0,0,0
2006/6/1,FLOOD,1,0,0,0,0,0,0,0,0,0
2006/6/1,LIGHTNING,1,2,0,0,0,2,9,0,0,0
2006/6/1,STORM,4,0,0,0,3,0,43,0,0,0
2006/7/1,DROUGHT,8,0,0,0,0,0,0,0,0,0
2006/7/1,FIRE,2,0,0,0,2,0,0,0,0,0
2006/7/1,FLOOD,19,0,0,0,44,0,13946,0,0,0
2006/7/1,PEST OUTBREAK,5,0,0,0,0,0,0,0,0,0
2006/7/1,STORM,8,0,0,0,14,0,6,0,0,0
2006/8/1,DROUGHT,38,0,0,0,0,0,100592,0,0,0
2006/8/1,FIRE,4,0,0,0,5,0,0,0,0,0
2006/8/1,FLOOD,58,12,0,0,85,554,764864,0,0,0
2006/8/1,STORM,2,4,5,0,97,180,1269,0,0,0
2006/9/1,FIRE,4,0,0,0,8,0,0,0,0,0
2006/9/1,FLOOD,41,3,1,0,1,270,28392,0,0,1292
2006/9/1,PEST OUTBREAK,1,0,0,0,0,0,0,0,0,0
2006/9/1,RIVER BANK COLLAPSE,1,0,0,0,0,0,44,0,0,0
2006/9/1,STORM,6,0,0,0,39,0,0,0,0,0
2006/10/1,FIRE,4,0,0,0,4,0,0,0,0,0
2006/10/1,FLOOD,65,0,0,0,0,0,0,0,0,0
2006/10/1,RIVER BANK COLLAPSE,1,0,0,0,0,0,67,0,0,0
2006/10/1,STORM,1,0,0,0,1,0,0,0,0,0
2006/11/1,DROUGHT,8,0,0,0,0,0,0,0,0,0
2006/11/1,FIRE,2,0,0,0,2,0,0,0,0,0
2006/11/1,FLOOD,3,0,0,0,0,0,0,0,0,0
2006/11/1,STORM,1,0,0,0,10,120,624,0,0,0
2006/12/1,DROUGHT,5,0,0,0,0,0,0,0,0,0
2006/12/1,FIRE,6,0,0,0,7,0,60,0,0,0
2006/12/1,FLOOD,7,0,0,0,0,0,0,0,0,0
2006/12/1,PEST OUTBREAK,2,0,0,0,0,0,0,0,0,0
2007/1/1,FIRE,9,0,0,0,8,0,137,0,0,0
2007/2/1,FIRE,29,1,2,0,215,2,701,0,0,0
2007/3/1,DROUGHT,6,0,0,0,0,0,0,0,0,0
2007/3/1,FIRE,7,0,0,0,16,0,246,0,0,0
2007/3/1,LIGHTNING,3,4,4,0,0,0,0,0,0,0
2007/3/1,STORM,7,0,0,0,125,359,2353,0,0,0
2007/4/1,EPIDEMIC,1,1,0,0,0,0,0,0,0,0
2007/4/1,FIRE,6,0,0,0,31,0,210,0,0,0
2007/4/1,LIGHTNING,1,1,0,0,0,0,0,0,0,0
2007/4/1,STORM,14,0,0,0,191,151,1014,0,0,0
2007/5/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
2007/5/1,FIRE,1,0,0,0,2,0,0,0,0,0
2007/5/1,FLOOD,6,0,0,0,0,0,0,0,0,0
