Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1899/12/1,DROUGHT,23,0,0,0,0,0,0,46218,0,0
1957/9/1,FLOOD,1,0,0,0,0,0,0,1000,0,0
1958/9/1,WINDSTORM,1,0,0,0,3,0,0,0,0,0
1961/9/1,FLOOD,1,0,0,0,0,0,0,15000,0,0
1977/9/1,FLOOD,1,0,0,0,0,0,0,900,0,0
1978/9/1,FLOOD,1,12,0,0,30,1,0,0,0,0
1979/9/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1985/9/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1985/9/1,FLOOD,2,0,0,0,38,0,0,5000,0,0
1986/9/1,FLOOD,3,0,0,0,0,0,0,508516,0,0
1988/9/1,PLAGUE,2,0,0,0,0,0,0,0,0,0
1989/1/1,FIRE,1,0,0,0,70,0,0,0,0,0
1989/2/1,FIRE,2,52,0,0,0,0,0,0,438,0
1989/9/1,FIRE,4,54,1,0,0,0,0,0,657,0
1989/9/1,HAILSTORM,1,5,0,0,42,0,0,0,0,0
1989/11/1,FIRE,1,2,1,0,0,0,0,0,0,0
1990/9/1,DROUGHT,2,0,0,0,0,0,0,800000,0,0
1990/11/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1991/1/1,PLAGUE,3,0,0,0,0,0,0,0,0,0
1991/4/1,FIRE,1,0,0,0,20,0,0,0,0,0
1991/7/1,CONFLICT,1,2,0,0,0,0,0,0,0,0
1991/9/1,FIRE,2,0,0,0,0,0,0,0,0,0
1991/9/1,FLOOD,1,0,0,0,0,0,0,51449,0,0
1991/9/1,PLAGUE,2,0,0,0,0,0,0,0,0,0
1991/10/1,FIRE,1,0,2,0,30,0,0,0,0,0
1992/9/1,DROUGHT,2,3915,0,0,0,0,0,297533,0,0
1992/9/1,FLOOD,7,0,0,0,10,0,0,241588,300,0
1992/9/1,HAILSTORM,1,0,0,0,0,0,0,0,0,0
1992/9/1,Land slide,3,6,0,0,0,0,0,0,830,0
1992/9/1,PLAGUE,4,0,0,0,0,0,0,0,0,0
1993/1/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1993/1/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1993/2/1,EARTHQUAKE,1,0,7,0,12,0,0,0,0,0
1993/3/1,FIRE,3,0,0,0,40,0,0,5,0,0
1993/4/1,FLOOD,2,4,1,0,0,0,0,0,500,0
1993/4/1,Land slide,1,2,6,0,0,0,0,0,0,0
1993/5/1,PLAGUE,9,0,0,0,0,0,0,0,0,0
1993/6/1,PLAGUE,6,0,0,0,0,0,0,0,0,0
1993/7/1,PLAGUE,6,0,0,0,0,0,0,0,0,0
1993/8/1,PLAGUE,9,0,0,0,0,0,0,0,0,0
1993/9/1,DROUGHT,1,0,0,0,0,0,0,248460,0,0
1993/9/1,FLOOD,37,0,0,0,19,0,0,1694833,39996,0
1993/9/1,FOREST FIRE,1,4,0,0,144,0,0,0,730,0
1993/9/1,HAILSTORM,1,0,0,0,0,0,0,0,0,0
1993/9/1,PLAGUE,19,0,0,0,0,0,0,0,0,0
1993/11/1,FIRE,1,0,0,0,5,0,0,0,0,0
1993/11/1,HAILSTORM,2,0,0,0,0,0,0,0,0,0
1994/1/1,PLAGUE,3,0,0,0,0,0,0,0,0,0
1994/1/1,PLAGUE,1,0,0,0,0,0,0,1520,0,0
1994/3/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1994/3/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1994/4/1,FLOOD,2,1,5,0,307,0,0,500,0,0
1994/4/1,PLAGUE,10,0,0,0,0,0,0,0,0,0
1994/5/1,FLOOD,2,25,0,0,217,11,0,0,0,0
1994/5/1,PLAGUE,8,0,0,0,0,0,0,0,0,0
1994/6/1,HAILSTORM,9,2,0,0,196,0,0,0,7000,0
1994/6/1,PLAGUE,9,0,0,0,0,0,0,0,0,0
1994/6/1,RAIN,1,0,0,0,0,0,0,0,0,0
1994/7/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1994/8/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1994/8/1,FLOOD,1,2,0,0,0,0,0,11,0,0
1994/9/1,DROUGHT,228,0,0,0,0,0,0,4983803,0,0
1994/9/1,FIRE,2,0,3,0,16,0,0,95,0,0
1994/9/1,FLOOD,44,0,0,0,0,0,0,514541,153850,0
1994/9/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1994/9/1,Land slide,1,10,0,0,8,0,0,0,89,0
1994/9/1,OTHER,1,0,0,0,0,0,0,0,0,0
1994/9/1,PLAGUE,19,0,0,0,0,0,0,0,0,0
1994/9/1,RAIN,1,0,0,0,0,0,0,0,0,0
1994/10/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1995/1/1,FIRE,1,0,0,0,0,0,0,0,0,0
1995/1/1,PLAGUE,3,0,0,0,0,0,0,0,0,0
1995/2/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1995/3/1,FLOOD,2,10,0,0,0,0,0,0,0,0
1995/4/1,HAILSTORM,2,0,0,0,5,0,0,0,0,0
1995/5/1,FIRE,1,0,0,0,1,0,0,0,0,0
1995/5/1,HAILSTORM,1,0,0,0,0,0,0,0,0,0
1995/6/1,FIRE,1,0,0,0,8,0,0,0,0,0
1995/7/1,FLOOD,1,0,0,0,1,0,0,0,0,0
1995/8/1,FLOOD,3,0,0,0,0,0,0,0,488,0
1995/8/1,HAILSTORM,1,2,0,0,2,0,0,0,0,0
1995/8/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1995/9/1,CONFLICT,1,44,0,0,0,0,0,0,116,0
1995/9/1,DROUGHT,228,0,0,0,0,0,0,3010041,0,0
1995/9/1,FIRE,8,10,63,0,0,0,0,0,0,0
1995/9/1,FLOOD,84,117,0,0,766,0,0,1096415,79333,0
1995/9/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1995/9/1,HAILSTORM,6,0,0,0,0,0,0,268,0,0
1995/9/1,Land slide,3,2,0,0,0,0,0,530,2500,0
1995/9/1,PLAGUE,9,0,0,0,0,0,0,0,0,0
1995/10/1,FLOOD,3,0,0,0,1,0,0,0,0,0
1995/10/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1995/11/1,FIRE,1,0,0,0,28,0,0,0,0,0
1995/11/1,FLOOD,1,0,0,0,0,0,0,0,29000,0
1995/11/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1995/12/1,FIRE,1,0,0,0,0,0,0,0,0,0
1995/12/1,FLOOD,2,0,0,0,44,0,0,1250,0,0
1996/1/1,DROUGHT,3,0,0,0,0,0,0,7348,0,0
1996/1/1,PLAGUE,12,0,0,0,0,0,0,13,0,0
1996/4/1,PLAGUE,2,5,0,0,0,0,0,184,0,0
1996/4/1,RAIN,1,0,0,0,0,0,0,0,0,0
1996/6/1,FLOOD,10,18,0,0,5,0,0,50000,13925,0
1996/7/1,FLOOD,4,0,0,0,19,0,0,0,0,0
1996/7/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1996/7/1,PLAGUE,6,0,0,0,0,0,0,0,0,0
1996/8/1,FLOOD,8,0,0,0,3,0,0,153525,0,0
1996/8/1,Land slide,1,0,0,0,0,0,0,0,205,0
1996/9/1,CONFLICT,1,0,0,0,0,0,0,0,0,0
1996/9/1,DROUGHT,144,0,0,0,0,0,0,1969900,0,0
1996/9/1,FIRE,5,47,27,0,29,0,0,120,0,0
1996/9/1,FLOOD,42,85,0,0,1450,0,0,342181,45050,0
1996/9/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1996/9/1,HAILSTORM,8,0,0,0,0,0,0,1233,0,0
1996/9/1,HEAT WAVE,2,0,0,0,0,0,0,8,0,0
1996/9/1,Land slide,8,22,0,0,4,0,0,11115,0,0
1996/9/1,OTHER,3,0,0,0,0,0,0,4,0,0
1996/9/1,PLAGUE,27,0,0,0,0,0,0,93969,0,0
1996/9/1,RAIN,12,0,0,0,0,0,0,8864,0,0
1996/9/1,STORM,1,0,0,0,0,0,0,0,0,0
1996/9/1,THUNDERSTORM,1,0,0,0,10,0,0,0,0,0
1996/9/1,WINDSTORM,2,0,0,0,0,0,0,12,0,0
1996/10/1,FIRE,1,0,0,0,0,0,0,0,0,0
1996/10/1,PLAGUE,2,0,0,0,0,0,0,0,0,0
1996/11/1,FIRE,1,0,0,0,0,0,0,0,0,0
1996/11/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1996/12/1,FIRE,1,0,0,0,0,0,0,0,0,0
1997/1/1,PLAGUE,6,0,0,0,0,0,0,0,0,0
1997/1/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1997/1/1,PLAGUE,2,0,0,0,0,0,0,0,0,0
1997/2/1,FIRE,1,0,0,0,0,0,0,0,0,0
1997/3/1,FIRE,1,1,5,0,550,0,0,61592,0,0
1997/5/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1997/5/1,FIRE,1,0,0,0,0,0,0,0,0,0
1997/5/1,FLOOD,2,4,0,0,0,0,0,0,0,0
1997/5/1,PLAGUE,3,0,0,0,0,0,0,0,0,0
1997/6/1,PLAGUE,12,0,0,0,0,0,0,0,0,0
1997/7/1,FLOOD,1,0,0,0,0,0,0,1,0,0
1997/7/1,PLAGUE,3,0,0,0,0,0,0,0,0,0
1997/8/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1997/9/1,DROUGHT,187,0,0,0,0,0,0,3208400,0,0
1997/9/1,FIRE,2,52,37,0,18,0,0,0,0,0
1997/9/1,FLOOD,16,8,0,0,37,0,0,67669,6174,0
1997/9/1,HAILSTORM,2,0,0,0,0,0,0,4220,0,0
1997/9/1,Land slide,3,6,2,0,5,0,0,385,275,0
1997/9/1,PLAGUE,32,0,0,0,0,0,0,0,0,0
1997/10/1,FLOOD,5,57,15,0,20,0,0,3435,4460,0
1997/11/1,FLOOD,2,297,3,0,0,0,0,0,69000,0
1997/11/1,Land slide,1,16,10,0,7,0,0,0,0,0
1997/11/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1997/12/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1998/1/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1998/1/1,FLOOD,1,15,0,0,0,0,0,9000,0,0
1998/1/1,PLAGUE,3,0,0,0,0,0,0,0,0,0
1998/2/1,FLOOD,1,0,0,0,90,0,0,496,0,0
1998/3/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1998/6/1,FLOOD,6,0,0,0,74,0,0,550,0,0
1998/6/1,Land slide,1,0,0,0,0,0,0,0,0,0
1998/6/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1998/7/1,FIRE,1,0,0,0,0,0,0,0,0,0
1998/8/1,FLOOD,1,40,21,0,0,0,0,1300,0,0
1998/8/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1998/9/1,CONFLICT,10,3,0,0,0,0,0,0,315936,0
1998/9/1,DROUGHT,170,0,0,0,0,0,0,5368643,327,0
1998/9/1,FIRE,5,63,23,0,32,0,0,239,224,0
1998/9/1,FLOOD,6,7,0,0,61,0,0,52075,0,0
1998/9/1,FOREST FIRE,1,0,0,0,0,0,0,743410,0,0
1998/9/1,HAILSTORM,3,5,0,0,0,0,0,162,0,0
1998/9/1,Land slide,1,0,0,0,5,0,0,0,0,0
