Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
2011/12/1,FLOOD,1,0,0,0,0,13,0,0,0,0
2011/12/1,DOMESTIC FIRE,3,0,0,0,0,3,0,0,0,0
2012/1/1,BUSH FIRE,3,0,0,0,0,0,0,0,0,0
2012/1/1,DOMESTIC FIRE,13,52,0,0,67,6,0,0,0,0
2012/1/1,INDUSTRIAL FIRE,1,0,0,0,0,0,0,0,0,0
2012/1/1,OTHER,1,2,0,0,0,0,0,0,0,0
2012/1/1,RAINSTORM,1,0,0,0,0,0,0,0,0,0
2012/1/1,TIDAL WAVES,1,0,0,0,0,0,0,0,0,0
2012/2/1,BUSH FIRE,9,0,0,0,16,5,0,0,0,0
2012/2/1,DOMESTIC FIRE,14,0,0,0,29,2,0,0,0,0
2012/2/1,FLOOD,3,0,0,0,4,0,0,0,0,0
2012/2/1,OTHER,1,13,0,0,0,0,0,0,0,0
2012/2/1,RAINSTORM,5,0,0,0,190,77,0,0,0,0
2012/2/1,ROAD TRAFFIC ACCIDENT,1,2,6,0,0,0,0,0,0,0
2012/2/1,STORM,1,0,0,0,0,17,0,0,0,0
2012/2/1,WINDSTORM,17,0,0,0,105,115,0,0,0,0
2012/3/1,DOMESTIC FIRE,7,0,0,0,5,8,0,0,0,0
2012/3/1,OTHER,1,0,0,0,0,1,0,0,0,0
2012/3/1,RAINSTORM,5,0,0,0,2,25,0,0,0,0
2012/3/1,WINDSTORM,12,0,0,0,79,24,0,0,0,0
2012/4/1,DOMESTIC FIRE,2,0,0,0,0,0,0,0,0,0
2012/4/1,FLOOD,3,0,0,0,51,4,0,0,0,0
2012/4/1,RAINSTORM,27,0,0,0,203,314,0,0,0,0
2012/4/1,WINDSTORM,1,0,0,0,9,0,0,0,0,0
2013/2/1,BUSH FIRE,1,0,1,0,1,0,0,0,0,0
2013/2/1,DOMESTIC FIRE,1,0,0,0,2,0,0,0,0,0
