Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1895/01,EARTHQUAKE,1,1000,0,0,0,0,0,0,0,0
2005/4/1,EARTHQUAKE,1,10,0,0,0,0,0,0,0,0
2005/6/1,FLOOD,2,0,0,0,0,0,0,0,0,0
2009/1/1,EARTHQUAKE,2,13000,0,0,0,0,0,0,0,0
1929/5/1,EARTHQUAKE,1,3200,0,0,0,0,0,0,0,0
1930/5/1,EARTHQUAKE,1,2514,0,0,0,0,0,0,0,0
1948/3/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1950/2/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1951/9/1,FLOOD,1,0,0,0,0,240,0,0,0,0
1951/10/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1952/5/1,FLOOD,1,3,0,0,0,3751,0,0,0,0
1952/9/1,FLOOD,2,0,0,0,0,142,0,0,0,0
1953/5/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1953/7/1,FLOOD,1,2,0,0,0,20,0,0,0,0
1954/4/1,FLOOD,2,0,0,0,0,200,0,0,0,0
1954/7/1,FLOOD,2,2167,0,0,0,600,0,0,0,0
1954/8/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1955/4/1,FLOOD,4,1100,0,0,0,0,0,0,0,0
1955/6/1,FLOOD,1,3,0,0,0,5,0,0,0,0
1955/7/1,FLOOD,1,2,0,0,0,20,0,0,0,0
1956/4/1,FLOOD,5,0,0,0,0,90,0,0,0,0
1956/5/1,FLOOD,25,605,0,0,0,1012,0,0,0,0
1956/6/1,FLOOD,12,301,0,0,0,792,0,0,0,0
1956/7/1,FLOOD,42,617,0,0,0,6497,0,0,0,0
1956/8/1,FLOOD,4,480,0,0,0,1612,0,0,0,0
1956/11/1,EARTHQUAKE,1,350,0,0,0,0,0,0,0,0
1957/3/1,FLOOD,3,3,0,0,0,0,0,0,0,0
1957/4/1,FLOOD,3,25,0,0,0,7,0,0,0,0
1957/5/1,FLOOD,8,6,2,0,0,75,0,0,0,0
1957/6/1,EARTHQUAKE,1,1500,0,0,0,0,0,0,0,0
1957/8/1,FLOOD,1,0,0,0,0,19,0,0,0,0
1957/9/1,FLOOD,4,65,25,0,0,20,0,0,0,0
1957/10/1,FLOOD,4,1,0,0,0,266,0,0,0,0
1957/11/1,FLOOD,10,2,0,0,0,141,0,0,0,0
1957/12/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1958/1/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1958/5/1,FLOOD,11,70,46,0,0,8200,0,0,0,0
1958/6/1,FLOOD,8,10,0,0,0,305,0,0,0,0
1958/10/1,EARTHQUAKE,1,132,200,0,0,0,0,0,0,0
1960/4/1,EARTHQUAKE,1,480,0,0,0,0,0,0,0,0
1960/5/1,FLOOD,3,2,0,0,0,4,0,0,0,0
1961/2/1,FLOOD,1,0,0,0,0,5000,0,0,0,0
1961/3/1,FLOOD,2,0,0,0,0,300,0,0,0,0
1961/4/1,FLOOD,1,0,0,0,0,10,0,0,0,0
1962/4/1,FLOOD,2,1,0,0,0,6,0,0,0,0
1962/9/1,EARTHQUAKE,2,24200,5800,0,0,50,0,100000,0,0
1963/5/1,FLOOD,15,21,0,0,0,1337,0,0,0,0
1963/6/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1963/8/1,FLOOD,9,25,1,0,0,726,0,0,0,0
1963/10/1,FLOOD,8,0,0,0,0,372,0,0,0,0
1964/7/1,FLOOD,4,6,6,0,0,0,0,0,0,0
1964/9/1,FLOOD,9,3,0,0,0,165,0,0,0,0
1964/11/1,FLOOD,1,0,0,0,0,42,0,0,0,0
1964/12/1,FLOOD,10,7,0,0,0,587,0,0,0,0
1965/1/1,FLOOD,12,3,0,0,0,793,0,0,0,0
1965/2/1,FLOOD,7,2,0,0,0,1380,0,0,0,0
1965/5/1,FLOOD,8,23,0,0,0,1190,0,0,0,0
1965/6/1,FLOOD,3,0,0,0,0,80,0,0,0,0
1965/7/1,FLOOD,4,7,0,0,0,0,0,0,0,0
1965/8/1,FLOOD,1,17,0,0,0,100,0,0,0,0
1965/9/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1965/10/1,FLOOD,9,5,11,0,0,465,0,0,0,0
1965/11/1,FLOOD,1,0,0,0,0,150,0,0,0,0
1966/2/1,FLOOD,1,0,1,0,0,6,0,0,0,0
1966/4/1,FLOOD,11,4,0,0,0,550,0,0,0,0
1966/5/1,FLOOD,3,1,0,0,0,500,0,0,0,0
1966/8/1,FLOOD,5,0,0,0,0,265,0,0,0,0
1966/9/1,FLOOD,7,106,0,0,0,570,0,0,0,0
1966/10/1,FLOOD,3,2,20,0,0,3060,0,0,0,0
1967/4/1,FLOOD,2,0,0,0,0,120,0,0,0,0
1967/5/1,FLOOD,2,7,0,0,0,277,0,0,0,0
1967/10/1,FLOOD,2,0,0,0,0,180,0,0,0,0
1968/2/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1968/4/1,EARTHQUAKE,1,38,0,100,0,0,0,5000,0,0
1968/4/1,FLOOD,2,0,0,0,0,33,0,0,0,0
1968/5/1,FLOOD,8,44,0,0,0,440,0,0,0,0
1968/6/1,FLOOD,3,31,0,0,0,258,0,0,0,0
1968/8/1,EARTHQUAKE,1,10000,4050,0,0,0,0,75000,0,0
1968/10/1,EARTHQUAKE,1,10000,0,0,0,0,0,0,0,0
1968/12/1,FLOOD,10,91,0,0,0,947,0,0,0,0
1969/1/1,EARTHQUAKE,1,50,300,0,0,0,0,48000,0,0
1969/1/1,FLOOD,18,41,40,0,0,3484,0,0,0,0
1969/3/1,FLOOD,6,2,0,0,0,389,0,0,0,0
1969/4/1,FLOOD,11,106,0,0,0,4207,0,0,0,0
1970/1/1,LANDSLIDE,1,43,0,0,0,0,0,100,0,0
1970/7/1,EARTHQUAKE,2,380,0,0,0,0,0,0,0,0
1970/7/1,FLOOD,2,5,0,0,0,80,0,0,0,0
1970/11/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1970/12/1,EXPLOSION,1,34,1,0,0,0,0,0,0,0
1971/1/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1971/2/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1971/3/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1971/4/1,EARTHQUAKE,3,4000,0,0,0,0,0,0,0,0
1971/4/1,FLOOD,3,0,0,0,0,150,0,0,0,0
1971/5/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1971/5/1,FLOOD,3,1,0,0,0,54,0,0,0,0
1971/7/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1971/7/1,FLOOD,1,3,0,0,0,260,0,0,0,0
1971/8/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1971/8/1,FLOOD,8,3,0,0,0,690,0,0,0,0
1971/9/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1971/10/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1971/11/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1971/12/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1971/12/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1972/1/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1972/2/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1972/2/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1972/3/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1972/3/1,FLOOD,5,0,0,0,0,230,0,0,0,0
1972/4/1,EARTHQUAKE,1,5057,1710,0,0,3500,0,22126,0,0
1972/4/1,FLOOD,7,0,0,0,0,380,0,0,0,0
1972/5/1,FLOOD,8,6,0,0,0,323,0,0,0,0
1972/6/1,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
1972/6/1,FLOOD,6,0,0,0,0,902,0,0,0,0
1972/7/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1972/8/1,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
1972/8/1,FLOOD,1,6,0,0,0,0,0,0,0,0
1972/9/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1972/10/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1972/11/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1972/11/1,FLOOD,2,5,2,0,0,0,0,0,0,0
1972/12/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1973/2/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1973/3/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1973/3/1,FLOOD,1,4,0,0,0,1200,0,0,0,0
1973/4/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1973/4/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1973/5/1,FLOOD,1,0,0,0,0,30,0,0,0,0
1973/6/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1973/7/1,FLOOD,7,13,94,0,0,4400,0,0,0,0
1973/8/1,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
1973/11/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1974/1/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1974/2/1,FLOOD,1,0,0,0,0,5,0,0,0,0
1974/3/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1974/3/1,FLOOD,26,9,1,0,0,3976,0,0,0,0
1974/4/1,FLOOD,4,0,0,0,0,72,0,0,0,0
1974/5/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1974/6/1,FLOOD,1,0,0,0,0,27,0,0,0,0
1974/7/1,FLOOD,13,11,0,0,0,343,0,0,0,0
1974/8/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1974/8/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1974/9/1,FLOOD,1,0,0,0,0,120,0,0,0,0
1974/11/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1974/12/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1974/12/1,FLOOD,1,0,0,0,0,25,0,0,0,0
1975/1/1,FLOOD,3,1,0,0,0,264,0,0,0,0
1975/2/1,FLOOD,2,0,0,0,0,16,0,0,0,0
1975/3/1,EARTHQUAKE,3,6014,200,0,715,0,0,0,2000,0
1975/3/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1975/4/1,FLOOD,8,25,0,0,0,1210,0,0,0,0
1975/4/1,STORM,1,14,0,0,0,0,0,0,0,0
1975/5/1,FLOOD,10,7,0,0,0,724,0,0,0,0
1975/6/1,FLOOD,2,0,0,0,0,0,0,0,0,0
1975/8/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1975/9/1,FLOOD,2,0,0,0,0,50,0,0,0,0
1975/10/1,FLOOD,4,5,0,0,0,46,0,0,0,0
1975/11/1,FLOOD,3,0,0,0,0,100,0,0,0,0
1975/12/1,FLOOD,5,7,0,0,0,0,0,0,0,0
1976/1/1,FLOOD,2,2,0,0,0,460,0,0,0,0
1976/2/1,FLOOD,7,1,0,0,0,20,0,0,0,0
1976/3/1,FLOOD,3,37,0,0,0,0,0,0,0,0
1976/4/1,EARTHQUAKE,1,0,15,0,0,0,0,0,0,0
1976/4/1,FLOOD,37,135,4,0,0,4022,0,0,0,0
1976/5/1,FLOOD,25,53,0,0,0,943,0,0,0,0
1976/6/1,FLOOD,4,7,0,0,0,73,0,0,0,0
1976/7/1,FLOOD,8,49,0,0,0,1863,0,0,0,0
1976/8/1,FLOOD,3,0,0,0,0,0,0,0,0,0
1976/10/1,FLOOD,4,1,0,0,0,1729,0,0,0,0
1976/11/1,EARTHQUAKE,4,53,260,0,489,0,0,0,0,0
1976/11/1,FLOOD,3,0,0,0,0,105,0,0,0,0
1976/12/1,FLOOD,5,1,0,0,0,260,0,0,0,0
1977/3/1,EARTHQUAKE,1,128,84,0,0,0,0,20126,0,0
1977/3/1,FLOOD,3,16,0,0,0,710,0,0,0,0
1977/4/1,EARTHQUAKE,1,348,200,0,2100,0,0,400000,0,0
1977/4/1,FLOOD,6,2,0,0,0,555,0,0,0,0
1977/5/1,FLOOD,12,33,10,0,0,700,0,0,0,0
1977/6/1,FLOOD,3,4,0,0,0,0,0,0,0,0
1977/7/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1977/8/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1977/9/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1977/10/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1977/11/1,FLOOD,5,16,0,0,0,520,0,0,0,0
1977/12/1,EARTHQUAKE,2,663,500,0,0,0,0,515,0,0
1977/12/1,FLOOD,5,0,0,0,0,68,0,0,0,0
1978/1/1,FLOOD,12,0,0,0,0,85,0,0,0,0
1978/2/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1978/3/1,FLOOD,3,0,0,0,0,0,0,0,0,0
1978/4/1,FLOOD,2,0,0,0,0,0,0,0,0,0
1978/5/1,FLOOD,2,3,0,0,0,0,0,0,0,0
1978/6/1,FLOOD,5,6,0,0,0,8,0,0,0,0
1978/7/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1978/8/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1978/9/1,EARTHQUAKE,1,25000,0,0,0,0,0,40000,0,0
1978/12/1,EARTHQUAKE,1,45,52,0,0,0,0,52,0,0
1979/1/1,EARTHQUAKE,5,199,200,0,0,0,0,5200,0,0
1979/1/1,FLOOD,3,9,0,0,0,0,0,0,0,0
1979/4/1,FLOOD,5,0,0,0,0,15,0,0,0,0
1979/5/1,FLOOD,10,11,0,0,0,260,0,0,0,0
1979/6/1,FLOOD,3,50,0,0,0,50,0,0,0,0
1979/9/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1979/10/1,FLOOD,1,4,0,0,0,0,0,0,0,0
1979/11/1,EARTHQUAKE,2,370,423,0,0,0,0,15023,0,0
1979/12/1,FLOOD,4,0,0,0,0,80,0,0,0,0
1980/1/1,FLOOD,3,0,0,0,0,0,0,0,0,0
