Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1981/7/1,EPIDEMIC,1,0,4,0,0,0,0,715,0,0
1982/3/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1982/4/1,FLOOD,3,1,0,2,0,0,0,0,0,0
1982/4/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1982/5/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1982/5/1,FLASH FLOOD,1,7,30,3,0,0,0,0,0,0
1982/5/1,FLOOD,8,0,0,0,0,0,0,0,0,0
1982/5/1,LIQUEFACTION,1,2,27,2,0,0,0,0,0,32
1982/5/1,RAINS,1,7,30,3,0,3,0,0,0,0
1982/6/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1982/7/1,FOREST FIRE,2,0,0,0,0,0,0,0,0,0
1982/8/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1982/9/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1982/11/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1982/12/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1982/12/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1983/1/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1983/2/1,AVALANCHE,1,0,0,0,0,0,0,0,0,0
1983/2/1,FLASH FLOOD,2,0,0,0,0,0,0,0,0,0
1983/2/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1983/2/1,SNOWSTORM,1,0,3,0,0,0,0,0,0,15
1983/3/1,FLASH FLOOD,1,0,0,0,0,0,0,2,0,0
1983/3/1,FLOOD,3,0,200,0,0,0,0,0,0,100
1983/3/1,SNOWSTORM,1,0,0,0,0,0,0,0,0,0
1983/7/1,FOREST FIRE,4,0,0,0,0,0,0,0,0,0
1984/4/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1984/8/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1984/12/1,FLOOD,1,1,0,0,0,0,0,0,0,0
1985/1/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1985/2/1,FLASH FLOOD,4,0,0,0,0,11,0,8,0,0
1985/2/1,FLOOD,3,0,0,0,0,3,0,0,0,0
1985/2/1,SNOWSTORM,1,0,0,0,0,0,0,0,0,0
1985/3/1,FLASH FLOOD,2,0,0,0,0,0,0,0,0,0
1985/3/1,SNOWSTORM,1,0,4,0,0,0,0,0,0,0
1985/11/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1985/12/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1985/12/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
1986/4/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1986/11/1,FLASH FLOOD,3,0,40,0,0,0,0,0,0,0
1986/11/1,FLOOD,3,3,10,0,0,0,0,194,0,0
1986/11/1,LANDSLIDE,1,0,0,0,0,3,0,0,0,0
1987/2/1,FLOOD,2,0,0,0,0,0,0,0,0,0
1987/4/1,FLASH FLOOD,1,0,4,0,0,0,0,0,0,0
1987/10/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1987/12/1,FLOOD,1,9,0,0,0,0,0,29,0,0
1988/1/1,FLASH FLOOD,2,0,0,0,0,5,0,0,0,0
1988/1/1,FLOOD,3,0,1,0,0,8,0,0,0,0
1988/3/1,FLASH FLOOD,3,1,15,0,0,0,0,0,0,51
1988/3/1,FLOOD,3,0,25,0,0,0,0,0,0,22
1988/12/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1988/12/1,RAINS,1,0,0,0,0,0,0,7,0,9
1988/12/1,SNOWSTORM,1,0,0,0,1,0,0,0,0,0
1989/1/1,EPIDEMIC,2,0,0,0,0,0,0,50,0,0
1989/1/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1989/2/1,SNOWSTORM,10,0,0,0,0,0,0,0,0,65
1989/3/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1989/12/1,FLOOD,1,1,4,0,1,0,0,0,0,0
1990/2/1,FLASH FLOOD,1,1,2,0,0,0,0,0,0,0
1990/3/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1990/4/1,FLOOD,1,0,0,0,0,0,0,10,0,0
1990/4/1,SNOWSTORM,1,0,0,0,0,0,0,8,0,36
1990/9/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1990/10/1,FLOOD,1,0,0,0,0,0,1,0,0,0
1991/1/1,COLD WAVE,1,0,0,0,0,0,0,0,0,0
1991/1/1,FLASH FLOOD,1,1,1,2,0,1,0,0,0,32
1991/1/1,SNOWSTORM,2,0,0,0,0,63,0,0,0,27
1991/3/1,FLASH FLOOD,1,2,50,0,0,0,0,0,0,0
1991/3/1,FLOOD,8,4,20,7,1,10,0,39,0,199
1991/3/1,LIQUEFACTION,1,0,0,0,0,0,0,0,0,9
1991/3/1,RAINS,1,3,0,0,0,2,0,0,0,2
1991/3/1,SNOWSTORM,1,0,0,0,0,0,0,9,0,0
1991/10/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1991/12/1,FLASH FLOOD,1,0,3,0,0,3,0,0,0,3
