Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1906/8/1,FLOOD,2,1005,4,0,1183,0,3012,0,0,0
1954/8/1,FLOOD,14,0,0,0,1218,0,1421,0,0,0
1954/8/1,THUNDERSTORM,1,0,0,0,28,0,0,0,0,0
1973/12/1,DROUGHT,1,0,0,0,0,0,0,6000000,0,0
1974/8/1,FLOOD,1,0,0,0,100,0,500,0,0,0
1984/1/1,Epizooty,55,0,0,0,0,0,0,2588,0,0
1985/1/1,Epizooty,13,0,0,0,0,0,0,627,0,0
1986/1/1,Epizooty,27,0,0,0,0,0,0,912,0,0
1991/1/1,Epizooty,53,0,0,0,0,0,0,864,0,0
1992/1/1,Epizooty,70,0,0,0,0,0,0,1214,0,0
1993/1/1,Epizooty,53,0,0,0,0,0,0,2218,0,0
1994/1/1,Epizooty,21,0,0,0,0,0,0,975,0,0
1994/8/1,FLOOD,1,0,0,0,40,0,0,0,0,0
1994/9/1,FLOOD,2,0,0,0,0,312,268,0,0,0
1995/1/1,Epizooty,63,0,0,0,0,0,0,1914,0,0
1995/5/1,EPIDEMIC,1,41,0,0,0,0,0,195,0,0
1995/5/1,FLOOD,2,0,0,0,11,0,54,0,0,0
1995/7/1,FLOOD,1,1,2,0,0,0,0,0,0,0
1995/8/1,FLOOD,1,0,0,0,134,0,0,0,0,0
1995/8/1,THUNDERSTORM,1,3,0,0,0,0,0,3,0,0
1996/6/1,FLOOD,1,2,37,0,1,0,0,0,0,0
1996/7/1,FLOOD,1,0,0,0,40,0,500,0,0,0
1996/8/1,FLOOD,2,0,0,0,7535,0,1500,0,0,0
1997/5/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1997/7/1,FLOOD,1,0,0,0,70,0,0,0,0,0
1997/8/1,FLOOD,2,6,0,0,0,0,0,0,0,0
1998/8/1,FLOOD,3,8,0,0,180,294,123,0,0,0
1998/9/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1999/7/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1999/8/1,DROUGHT,1,0,0,0,0,0,589,0,0,0
1999/8/1,FLOOD,63,22,7,1,1571,964,7134,250,0,0
1999/9/1,FLOOD,2,2,0,0,178,675,478,0,0,0
2000/1/1,DROUGHT,1,0,0,0,0,0,0,13692,0,0
2001/6/1,DROUGHT,37,0,0,0,0,0,0,573744,0,0
2001/6/1,FLOOD,1,0,0,0,0,0,0,6490,0,0
