Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1979/1/1,DROUGHT,7,0,0,0,0,0,0,0,0,0
1979/3/1,CONFLICT MAN WILD FAUNA,1,0,0,0,0,0,0,0,0,0
1979/5/1,CONFLICT MAN WILD FAUNA,1,0,0,0,0,0,0,0,0,0
1979/7/1,CONFLICT MAN WILD FAUNA,1,0,0,0,0,0,0,0,0,0
1980/1/1,DROUGHT,4,0,0,0,0,0,0,0,0,0
1980/2/1,FLOOD,1,0,0,0,50,0,0,5000,0,0
1980/11/1,CYCLONE,1,0,0,0,0,0,0,0,0,0
1980/11/1,FLOOD,12,0,0,0,0,0,0,138173,0,0
1981/1/1,STORM,1,1,1,0,0,0,0,0,0,0
1981/2/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1981/12/1,CYCLONE,1,0,0,0,0,0,0,0,0,0
1981/12/1,DROUGHT,1,1e+05,0,0,0,0,0,0,0,0
1982/1/1,RAINS,1,0,0,0,0,0,0,0,0,0
1982/1/1,STORM,1,0,0,0,2,0,0,0,0,0
1982/1/1,CYCLONE,1,0,0,0,0,0,0,0,0,0
1982/1/1,DROUGHT,3,0,0,0,0,0,0,0,0,0
1983/1/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1983/11/1,DROUGHT,3,0,0,0,0,0,0,0,0,0
1983/12/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
1984/1/1,DROUGHT,10,0,0,0,0,0,0,381106,0,0
1984/1/1,CYCLONE,4,109,0,0,0,0,0,0,0,0
1984/1/1,FLOOD,4,135,0,0,0,0,0,0,0,0
1984/8/1,DROUGHT,10,0,0,0,0,0,0,363200,0,0
1984/12/1,DROUGHT,5,0,0,0,0,0,0,214500,0,0
1985/1/1,DROUGHT,3,0,0,0,0,0,0,908233,0,0
1985/1/1,PLAGUE,2,0,0,0,0,0,0,0,0,0
1985/2/1,FLOOD,6,0,0,0,0,0,109328,1495,0,0
1986/1/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1986/9/1,DROUGHT,4,0,0,0,0,0,0,140355,0,0
1987/1/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1988/1/1,ACCIDENT,1,2,0,0,0,0,1,0,0,0
1988/1/1,DROUGHT,5,0,0,0,0,0,30000,267557,0,36274
1988/1/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1988/1/1,PLAGUE,3,0,0,0,0,0,0,0,0,0
1988/1/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1988/2/1,CYCLONE,1,0,0,0,0,0,0,0,0,0
1988/2/1,FLOOD,5,0,0,0,0,0,0,0,0,0
1988/3/1,CYCLONE,2,57,11,0,28974,7375,3320,7400,0,0
1988/3/1,FLASH FLOOD,3,20,0,0,1389,0,731,13861,0,0
1988/3/1,FLOOD,4,20,0,0,690,0,0,9891,0,0
1988/3/1,THUNDER STORM,1,5,0,0,0,0,0,0,0,0
1988/4/1,FLOOD,1,7,0,0,2500,0,0,194498,3000,0
1989/1/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1989/1/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1989/1/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1989/1/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1989/1/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
1989/4/1,FIRE,1,4,0,0,0,0,0,0,0,0
1990/1/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1990/1/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
1990/1/1,HEAT WAVE,1,0,0,0,0,0,0,0,0,0
1990/1/1,PLAGUE,2,0,0,0,0,0,0,0,0,0
1990/3/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1990/5/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1990/6/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1990/10/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1991/2/1,DROUGHT,4,0,0,0,0,0,0,33000,0,0
1991/2/1,EPIDEMIC,1,11,0,0,0,0,0,700,0,0
1991/2/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1991/2/1,HEAT WAVE,1,0,0,0,0,0,0,0,0,0
1991/2/1,PLAGUE,5,0,0,0,0,0,0,0,0,0
1991/2/1,CONFLICT MAN WILD FAUNA,1,0,0,0,0,0,0,0,0,0
1991/2/1,FLOOD,1,0,0,0,28,80,0,0,0,0
1991/3/1,FLOOD,1,0,0,0,43,0,0,0,0,0
1991/6/1,ALLUVION,1,0,0,0,0,0,0,0,0,0
1991/10/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1992/1/1,BIOLOGICAL,1,1,0,0,0,0,0,0,0,0
1992/1/1,CONFLICT MAN WILD FAUNA,1,0,0,0,0,0,0,0,0,0
1992/1/1,DROUGHT,15,0,0,0,0,0,0,707921,0,0
1992/1/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
1992/1/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1992/1/1,RAINS,1,0,0,0,0,0,0,0,0,0
1992/1/1,DROUGHT,1,0,0,0,0,0,0,6000,0,0
1992/2/1,DROUGHT,6,0,0,0,0,0,0,158038,0,0
1992/4/1,DROUGHT,8,0,0,0,0,0,0,187600,0,0
1992/5/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1992/6/1,DROUGHT,9,0,0,0,0,0,0,103864,0,0
1992/6/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
1992/7/1,DROUGHT,2,0,0,0,0,0,0,2368,0,0
1992/7/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
1992/7/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1992/8/1,EPIDEMIC,1,13,0,0,0,0,13,0,0,0
1992/8/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1992/9/1,DROUGHT,1,8,0,0,0,0,0,30000,0,0
1992/10/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1992/10/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1992/11/1,EPIDEMIC,3,70,0,0,0,0,1543,0,0,0
1992/12/1,EPIDEMIC,2,21,0,0,0,0,243,0,0,0
1992/12/1,HEAT WAVE,1,0,0,0,0,0,0,0,0,0
1992/12/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1993/1/1,CONFLICT MAN WILD FAUNA,2,0,0,0,0,0,0,15,0,0
1993/1/1,DROUGHT,4,0,0,0,0,0,0,750000,0,0
1993/1/1,FLOOD,1,0,0,0,0,0,0,293080,0,0
1993/1/1,PLAGUE,10,0,0,0,0,0,0,29163,0,0
1993/1/1,RAINS,1,0,0,0,37,22,0,5000,0,32
1993/2/1,DROUGHT,1,60,0,0,0,0,0,0,0,0
1993/2/1,FIRE,1,0,0,0,0,0,0,0,0,0
1993/2/1,RAINS,1,0,0,0,0,0,0,0,0,0
1993/3/1,PLAGUE,2,0,0,0,0,0,0,0,0,0
1993/3/1,RAINS,1,7,0,0,0,0,0,13,0,0
1993/4/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1993/4/1,STORM,1,0,0,0,0,0,0,0,0,0
1993/8/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1993/10/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1993/11/1,FLASH FLOOD,1,0,0,0,0,0,0,1070,0,0
1993/11/1,STORM,1,0,0,0,0,0,0,0,0,0
1993/12/1,STORM,1,0,0,0,0,0,0,0,0,0
