Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1952/10/1,STORM,2,0,0,0,0,0,0,0,0,0
1956/7/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1975/3/1,URBAN FIRE,2,0,0,0,0,0,0,640,0,0
1980/1/1,RIVERBANK EROSION,2,0,0,0,0,0,0,0,0,0
1980/4/1,FIRE,1,0,0,0,2183,0,8372,0,0,0
1980/5/1,FIRE,1,0,0,0,769,0,4441,0,0,0
1981/4/1,FIRE,1,0,0,0,5206,0,28588,0,0,0
1981/5/1,FIRE,1,0,0,0,6242,0,3558,0,0,0
1982/2/1,FIRE,1,0,0,0,1091,0,6548,0,0,0
1982/4/1,FIRE,1,0,0,0,855,0,6840,0,0,0
1983/4/1,FIRE,1,0,0,0,435,0,2667,0,0,0
1984/2/1,FIRE,1,0,0,0,331,0,1832,0,0,0
1984/3/1,FIRE,1,0,0,0,2752,0,23250,0,0,0
1984/5/1,EPIDEMIC/PANDEMIC,1,28,0,0,0,0,0,0,940,0
1984/5/1,FIRE,1,0,0,0,722,0,1331,0,0,0
1985/2/1,FIRE,1,0,0,0,250,0,3500,0,0,0
1985/4/1,FIRE,1,0,0,0,403,0,3224,0,0,0
1985/12/1,FIRE,1,0,0,0,272,0,1837,0,0,0
1986/2/1,FIRE,2,0,0,0,2328,0,16237,0,0,0
1986/3/1,FIRE,1,0,0,0,1200,0,3639,0,0,0
1987/3/1,FIRE,1,0,0,0,178,0,270,0,0,0
1988/2/1,FIRE,1,0,0,0,435,0,2186,0,0,0
1988/3/1,FIRE,3,136,62,0,2394,0,20449,0,0,0
1988/4/1,FIRE,1,0,0,0,565,0,4606,0,0,0
1988/10/1,FIRE,1,0,3,0,794,0,5291,0,0,0
1988/11/1,FIRE,2,0,0,0,2151,0,15456,0,0,0
1989/2/1,FIRE,2,0,0,0,2156,0,21107,0,0,0
1989/3/1,FIRE,1,0,0,0,320,0,2274,0,0,0
