Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1971/1/1,FIRE,1,4,0,0,0,0,0,0,0,0
1971/2/1,FIRE,1,0,0,0,0,8,0,0,0,0
1971/3/1,EPIDEMIC,2,17,0,0,0,0,0,0,0,0
1971/3/1,FIRE,6,0,0,0,12,0,0,0,0,0
1971/4/1,EPIDEMIC,3,5,30,0,0,0,0,0,0,0
1971/4/1,FIRE,1,0,0,0,5,0,0,0,0,0
1971/4/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1971/4/1,HAIL STORM,2,0,0,0,0,0,0,0,0,0
1971/4/1,RAINS,1,0,0,0,0,0,0,0,0,0
1971/4/1,STORM,2,1,0,0,0,0,0,0,0,0
1971/4/1,STRUCT.COLLAPSE,1,1,0,0,0,0,0,0,0,0
1971/4/1,THUNDERSTORM,3,4,3,0,0,0,0,0,0,0
1971/5/1,BOAT CAPSIZE,1,5,0,0,0,0,0,0,0,0
1971/5/1,FIRE,3,0,0,0,2,0,0,0,0,0
1971/5/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1971/5/1,HAIL STORM,2,1,2,0,0,0,0,0,0,0
1971/5/1,RAINS,4,0,0,0,1,1,0,0,0,0
1971/5/1,STRUCT.COLLAPSE,1,0,3,0,0,1,0,0,0,0
1971/6/1,EPIDEMIC,2,5,0,0,0,0,0,50,0,0
1971/6/1,FIRE,2,0,0,0,26,0,0,0,0,0
1971/6/1,FLOOD,10,9,1,0,31,3,0,675,0,0
1971/6/1,LANDSLIDE,7,31,0,0,20,107,0,0,0,0
1971/6/1,RAINS,3,0,4,0,2,3,0,0,0,0
1971/6/1,STRUCT.COLLAPSE,4,1,4,0,2,3,0,0,0,0
1971/6/1,THUNDERSTORM,1,2,0,0,0,0,0,0,0,0
1971/7/1,EPIDEMIC,6,25,0,0,0,0,0,0,0,0
1971/7/1,FLOOD,5,25,0,0,0,0,0,135,0,0
1971/7/1,LANDSLIDE,3,15,0,0,2,0,0,0,0,0
1971/7/1,RAINS,1,0,0,0,0,0,0,0,0,0
1971/7/1,THUNDERSTORM,1,2,0,0,0,0,0,0,0,0
1971/8/1,EPIDEMIC,2,74,0,0,0,0,0,0,0,0
1971/8/1,FIRE,2,0,0,0,1,0,0,0,0,0
1971/8/1,FLOOD,2,0,0,0,0,16,0,0,0,0
1971/8/1,LANDSLIDE,3,4,2,0,2,0,0,0,0,0
1971/8/1,RAINS,2,0,0,0,0,0,0,0,0,0
1971/8/1,STRUCT.COLLAPSE,7,8,1,0,11,0,0,0,0,0
1971/9/1,EPIDEMIC,3,22,0,0,0,0,0,0,0,0
1971/9/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1971/9/1,RAINS,2,27,0,0,14,0,0,0,0,0
1971/10/1,AVALANCHE,1,0,3,0,0,0,0,0,0,0
1971/10/1,EPIDEMIC,1,3,0,0,0,0,0,0,0,0
1971/10/1,LANDSLIDE,1,16,0,0,0,0,0,0,0,0
1971/11/1,BOAT CAPSIZE,2,2,4,0,0,0,0,0,0,0
1971/11/1,HAIL STORM,2,0,0,0,0,0,0,0,0,0
1971/12/1,LANDSLIDE,1,2,0,0,0,0,0,0,0,0
1971/12/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1972/1/1,FIRE,1,0,0,0,0,0,0,0,0,0
1972/2/1,FIRE,1,1,0,0,0,0,0,0,0,0
1972/3/1,FIRE,6,2,0,0,12,0,0,0,0,0
1972/3/1,HAIL STORM,2,0,0,0,0,0,0,0,0,0
1972/3/1,STORM,1,3,0,0,0,0,0,0,0,0
1972/4/1,AVALANCHE,1,15,1,0,0,0,0,0,0,0
1972/4/1,BOAT CAPSIZE,2,4,0,30,0,0,0,0,0,0
1972/4/1,FIRE,9,0,0,0,107,6,0,0,0,0
1972/4/1,HAIL STORM,1,0,0,0,0,0,0,0,0,0
1972/4/1,THUNDERSTORM,1,0,0,0,0,0,0,0,0,0
1972/5/1,EPIDEMIC,3,15,0,0,0,0,0,29,0,0
1972/5/1,FIRE,12,3,6,0,291,0,0,300,0,0
1972/5/1,HAIL STORM,1,3,1,0,0,0,0,0,0,0
1972/5/1,STORM,2,0,0,0,0,50,0,0,0,0
1972/6/1,EPIDEMIC,3,0,0,0,0,0,0,0,0,0
1972/6/1,FIRE,4,0,1,0,143,0,0,0,0,0
1972/6/1,FLOOD,2,2,0,0,0,0,0,0,0,0
1972/6/1,HAIL STORM,1,0,0,0,0,30,0,0,0,0
1972/6/1,HEAT WAVE,1,0,0,0,0,0,0,0,0,0
1972/6/1,LANDSLIDE,2,15,1,7,3,0,0,0,0,0
1972/7/1,EPIDEMIC,3,7,0,0,0,0,0,0,0,0
1972/7/1,FIRE,1,0,0,0,7,0,0,0,0,0
1972/7/1,FLOOD,13,3,0,0,3,0,0,0,0,0
1972/7/1,LANDSLIDE,7,19,8,0,13,0,0,0,0,0
1972/7/1,RAINS,2,0,0,0,2,0,0,0,0,0
1972/8/1,EPIDEMIC,6,19,0,0,0,0,0,0,0,0
1972/8/1,FLOOD,7,0,0,0,0,0,0,250,0,250
1972/8/1,LANDSLIDE,3,25,70,0,24,0,0,0,0,0
1972/8/1,PLAGUE,2,0,0,0,0,0,0,0,0,0
1972/8/1,RAINS,1,0,0,0,4,0,0,0,0,0
1972/9/1,EPIDEMIC,1,1,0,0,0,0,0,0,0,0
1972/9/1,FIRE,1,0,0,0,0,0,0,0,0,0
1972/9/1,FLOOD,1,0,0,0,2,0,0,0,0,0
1972/9/1,LANDSLIDE,2,24,0,0,122,0,0,0,0,0
1972/10/1,EPIDEMIC,1,0,0,0,0,0,0,323,0,0
1972/10/1,FLOOD,1,0,0,0,7,0,0,0,0,0
1972/10/1,LANDSLIDE,3,11,0,0,30,0,0,0,0,0
1972/10/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1972/10/1,SNOW STORM,1,0,0,0,0,0,0,0,0,0
1972/10/1,STRUCT.COLLAPSE,1,1,0,0,0,0,0,0,0,0
1972/11/1,FIRE,1,0,0,0,1,0,0,0,0,0
1973/1/1,FIRE,2,5,0,0,11,0,0,0,0,0
1973/1/1,HAIL STORM,2,0,0,0,0,0,0,0,0,0
1973/1/1,LANDSLIDE,1,1,0,0,0,0,0,0,0,0
1973/1/1,THUNDERSTORM,1,0,0,0,1,0,0,0,0,0
1973/2/1,EPIDEMIC,2,0,0,0,0,0,0,45,0,0
1973/2/1,FIRE,1,0,0,0,3,0,0,0,0,0
1973/2/1,PLAGUE,2,0,0,0,0,0,0,0,0,0
1973/2/1,SNOW STORM,1,1,0,0,0,0,0,0,0,0
1973/3/1,EPIDEMIC,4,33,0,0,0,0,0,52,0,0
1973/3/1,FIRE,17,1,0,0,294,0,0,0,0,0
1973/3/1,PLAGUE,3,0,0,0,0,0,0,0,0,0
1973/4/1,EPIDEMIC,3,2,120,0,0,0,0,0,0,0
1973/4/1,FIRE,40,8,3,0,1260,50,0,0,0,0
1973/4/1,FOREST FIRE,2,0,0,0,0,0,0,0,0,0
1973/4/1,HAIL STORM,1,0,0,0,0,0,0,0,0,0
1973/4/1,LANDSLIDE,1,1,1,0,0,0,0,0,0,0
1973/4/1,PLAGUE,2,0,0,0,0,0,0,0,0,0
1973/4/1,SNOW STORM,1,1,0,0,0,0,0,0,0,0
1973/4/1,STORM,1,0,0,0,0,2,0,0,0,0
1973/4/1,THUNDERSTORM,1,3,0,0,0,0,0,120,0,0
1973/5/1,AVALANCHE,1,5,0,0,0,0,0,0,0,0
1973/5/1,EPIDEMIC,6,1,120,0,0,0,0,0,0,0
1973/5/1,FIRE,5,1,0,0,17,0,0,0,0,0
1973/5/1,FLOOD,2,2,0,0,0,35,0,0,0,0
1973/5/1,LANDSLIDE,1,0,0,0,0,0,0,0,0,0
1973/5/1,STORM,1,0,5,0,0,25,0,0,0,0
1973/5/1,STRONG WIND,2,1,0,0,0,2,0,0,0,0
1973/5/1,THUNDERSTORM,1,0,0,0,0,0,0,0,0,0
1973/6/1,EPIDEMIC,4,8,18,0,0,0,0,60,0,0
1973/6/1,EXPLOSION,1,1,0,0,0,0,0,0,0,0
1973/6/1,FIRE,1,1,2,0,1,0,0,0,0,0
1973/6/1,FLOOD,5,0,0,0,0,1,0,0,0,0
1973/6/1,LANDSLIDE,2,3,4,0,0,0,0,0,0,0
1973/6/1,STRONG WIND,2,5,0,0,0,4,0,0,0,0
1973/6/1,STRUCT.COLLAPSE,1,3,1,0,0,0,0,0,0,0
1973/6/1,THUNDERSTORM,1,1,2,0,0,0,0,0,0,0
1973/7/1,EPIDEMIC,1,0,0,0,0,0,0,0,0,0
