Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1900/10/1,EPIDEMIC,1,1,0,0,0,0,1309,1309,0,0
1910/8/1,EPIDEMIC,1,0,0,0,0,0,10,10,0,0
1973/1/1,DROUGHT,3,0,0,0,0,0,47617,15000,500,0
1974/1/1,DROUGHT,2,0,0,0,0,0,0,0,0,0
1975/1/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1978/7/1,FLOOD,1,0,0,0,27,0,245,39,0,0
1980/1/1,SOCIAL CONFLICTS,1,0,0,0,0,0,0,0,0,0
1980/8/1,EPIDEMIC,1,0,0,0,0,0,0,0,0,0
1981/9/1,FLOOD,1,0,0,0,0,0,325,65,0,0
1981/10/1,FLOOD,6,0,0,0,15,0,1425,225,0,0
1982/1/1,EPIZOOTY,1,0,0,0,0,0,455,65,0,0
1982/8/1,FLOOD,1,0,0,0,0,0,350,50,0,0
1983/1/1,DROUGHT,3,0,0,0,0,0,211260,30180,7498,0
1983/1/1,EPIZOOTY,6,0,2,0,0,0,2419,3,0,0
1983/1/1,RAVAGERS AND LOCUSTS PILGRIMS,1,0,0,0,0,0,0,0,0,0
1983/1/1,SOCIAL CONFLICTS,3,2,0,0,0,0,0,0,0,0
1983/7/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1984/1/1,DROUGHT,28,0,0,0,0,0,554878,56486,13963,0
1984/1/1,EPIZOOTY,6,0,0,0,0,0,54,38,0,0
1984/1/1,FOREST FIRE,3,0,0,0,0,0,0,0,0,0
1984/1/1,RAVAGERS AND LOCUSTS PILGRIMS,1,0,0,0,0,0,0,0,0,0
1984/1/1,SOCIAL CONFLICTS,4,11,0,0,0,0,0,6,0,0
1984/5/1,EPIDEMIC,1,7,0,0,0,0,0,0,0,0
1984/7/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1984/8/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1984/11/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1985/1/1,DROUGHT,17,0,0,0,0,0,63623,445361,2296,0
1985/1/1,EPIDEMIC,1,0,0,0,0,0,0,0,0,0
1985/1/1,EPIZOOTY,12,0,7,0,0,0,88,33,0,0
1985/1/1,FOREST FIRE,4,0,0,0,0,0,0,0,0,0
1985/1/1,RAVAGERS AND LOCUSTS PILGRIMS,1,0,0,0,0,0,0,0,0,0
1985/1/1,SOCIAL CONFLICTS,1,3,0,0,0,0,0,0,0,0
1985/4/1,EPIDEMIC,1,0,0,0,0,0,0,0,0,0
1985/7/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1985/11/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1986/1/1,DROUGHT,3,0,0,0,0,0,483020,22287,0,0
1986/1/1,EPIZOOTY,6,0,0,0,0,0,1323,95,0,0
1986/1/1,FOREST FIRE,3,0,0,0,0,0,0,0,0,0
1986/1/1,RAVAGERS AND LOCUSTS PILGRIMS,4,0,0,0,0,0,0,0,0,0
1986/1/1,SOCIAL CONFLICTS,4,17,0,0,0,0,0,4,120,0
1986/7/1,FLOOD,3,0,0,0,0,0,5,1,0,0
1986/8/1,SOCIAL CONFLICTS,1,0,0,0,0,0,0,0,0,0
1987/1/1,DROUGHT,3,0,0,0,0,0,496166,0,0,0
1987/1/1,EPIZOOTY,4,0,0,0,0,0,82,17,0,0
1987/1/1,FIRE,2,0,0,0,0,30,102,17,0,0
1987/1/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
