Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1980/1/1,FLOOD,1,4,32,0,94,35,0,1742,0,0
1980/1/1,Snowfall,1,4,14,0,9,26,0,0,0,0
1980/2/1,EPIDEMIC,2,6,0,0,0,0,0,58,0,0
1980/2/1,FLASH FLOOD,1,2,9,0,3,6,0,246,0,0
1980/2/1,FLOOD,1,8,64,0,43,0,0,64,0,0
1980/2/1,LANDSLIDE,1,2,3,0,2,0,0,0,0,0
1980/2/1,LIGHTNING,1,2,0,0,0,1,0,0,0,0
1980/2/1,RAINS,2,1,4,0,1,0,0,0,0,0
1980/2/1,Snowfall,1,3,24,0,14,92,0,0,0,0
1980/3/1,FLOOD,2,21,68,0,105,38,0,113,0,0
1980/3/1,LANDSLIDE,1,3,8,0,4,3,0,0,0,0
1980/3/1,LIGHTNING,1,0,0,0,0,1,0,0,0,0
1980/3/1,RAINS,1,1,0,0,2,0,0,0,0,0
1980/4/1,EARTHQUAKE,1,68,186,0,156,358,0,0,0,0
1980/4/1,EPIDEMIC,5,17,0,0,0,0,0,205,0,0
1980/4/1,FLOOD,4,24,279,0,74,93,0,2151,0,0
1980/4/1,LANDSLIDE,1,6,7,0,0,0,0,0,0,0
1980/4/1,RAINS,1,0,1,0,0,0,0,0,0,0
1980/5/1,EPIDEMIC,2,5,0,0,0,0,0,111,0,0
1980/5/1,FLOOD,4,35,291,0,152,164,0,2900,0,0
1980/6/1,EARTHQUAKE,1,5,26,0,14,32,0,234,0,0
1980/6/1,EPIDEMIC,1,5,0,0,0,0,0,38,0,0
1980/6/1,FLOOD,1,6,54,0,27,96,0,1459,0,0
1980/6/1,LIGHTNING,1,2,0,0,0,0,0,0,0,0
1980/7/1,EARTHQUAKE,1,0,14,0,3,65,0,43,0,0
1980/7/1,EPIDEMIC,1,3,0,0,0,0,0,14,0,0
1980/7/1,FLASH FLOOD,4,20,47,0,27,71,0,2705,0,0
1980/7/1,FLOOD,2,7,118,0,51,22,0,142,0,0
1980/7/1,LANDSLIDE,2,9,9,0,0,0,0,175,0,0
1980/7/1,LIGHTNING,1,0,0,0,0,0,0,0,0,0
1980/7/1,RAINS,2,3,1,0,1,0,0,0,0,0
1980/8/1,EPIDEMIC,2,6,0,0,0,0,0,129,0,0
1980/8/1,FLASH FLOOD,5,30,69,0,81,101,0,3236,0,0
1980/8/1,FLOOD,3,25,159,0,173,62,0,4300,0,0
1980/8/1,LANDSLIDE,1,4,0,0,3,0,0,0,0,0
1980/8/1,RAINS,2,1,1,0,1,2,0,0,0,0
