Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Jun-96,DROUGHT,2,0,0,0,0,0,0,0,0,0
Jul-96,DROUGHT,4,0,0,0,0,0,0,0,0,0
Sep-96,FLOOD,15,135,2,0,0,2810,1345191,0,0,0
Oct-96,FLOOD,2,34,0,0,0,479,12104,0,0,0
Nov-96,FLOOD,17,0,0,0,0,0,0,0,0,0
Nov-96,STORM,1,0,0,0,0,0,0,0,0,0
Jun-97,DROUGHT,3,0,0,0,0,0,0,0,0,0
Jul-97,DROUGHT,4,0,0,0,0,0,0,0,0,0
Sep-97,FLOOD,4,0,0,0,0,0,0,0,0,0
Dec-97,DROUGHT,14,0,0,0,0,0,0,0,0,0
Jun-98,DROUGHT,2,0,0,0,0,0,0,0,0,0
Jul-98,DROUGHT,4,0,0,0,0,0,0,0,0,0
Aug-98,DROUGHT,1,0,0,0,0,0,0,0,0,0
Sep-98,FLOOD,11,0,0,0,0,0,0,0,0,0
Jun-99,DROUGHT,2,0,0,0,0,0,0,0,0,0
Jul-99,DROUGHT,4,0,0,0,0,0,0,0,0,0
Sep-99,FLOOD,13,3,0,0,1,2,7849,0,0,675
Oct-99,FLOOD,8,0,0,0,0,0,0,0,0,0
Feb-00,LIGHTNING,1,3,0,0,0,0,0,0,0,0
Mar-00,LIGHTNING,1,1,0,0,0,0,0,0,0,0
Mar-00,STORM,4,4,0,0,56,85,0,0,0,0
Apr-00,LIGHTNING,1,1,0,0,0,0,0,0,0,0
Apr-00,STORM,4,2,16,0,75,591,0,0,0,0
May-00,STORM,3,0,0,0,152,0,33,0,0,0
Jun-00,DROUGHT,2,0,0,0,0,0,0,0,0,0
Jun-00,STORM,1,0,0,0,0,0,33,0,0,0
Jul-00,DROUGHT,5,0,0,0,0,0,0,0,0,0
Jul-00,FLOOD,5,3,0,0,7,0,30185,0,0,3161
Jul-00,STORM,1,0,4,0,26,0,0,0,0,0
Sep-00,FIRE,1,29,0,0,0,0,0,0,0,0
Sep-00,FLOOD,47,70,0,0,659,383,677759,0,0,77438
Sep-00,STORM,2,0,3,2,230,0,0,0,0,0
Oct-00,FLOOD,124,274,725,0,42,6861,2597638,0,0,0
Oct-00,STORM,1,1,0,0,58,0,0,0,0,0
Jan-01,FIRE,1,0,0,0,0,0,489,0,0,0
Jan-01,STORM,1,0,0,0,0,0,912,0,0,0
Mar-01,LIGHTNING,2,2,0,0,0,0,0,0,0,0
Apr-01,LIGHTNING,1,1,0,0,0,0,0,0,0,0
Apr-01,STORM,1,0,0,0,17,0,0,0,0,0
May-01,LIGHTNING,1,1,0,0,0,0,0,0,0,0
Jun-01,DROUGHT,2,0,0,0,0,0,0,0,0,0
Jun-01,LIGHTNING,1,1,0,0,0,0,0,0,0,0
Jul-01,DROUGHT,5,0,0,0,0,0,0,0,0,0
Jul-01,FLOOD,1,0,0,0,0,0,0,0,0,0
Jul-01,LIGHTNING,1,0,0,0,0,1,0,0,0,0
Aug-01,DROUGHT,49,0,0,0,0,0,20283,0,0,0
Aug-01,FLOOD,6,0,0,0,5,7,0,0,0,0
Aug-01,RIVER BANK COLLAPSE,1,0,0,0,0,0,0,0,0,0
Aug-01,STORM,3,0,0,0,0,48,0,0,0,0
Sep-01,FLOOD,36,17,0,0,143,27,496521,0,0,3864
Sep-01,RIVER BANK COLLAPSE,1,0,0,0,0,0,0,0,0,0
Sep-01,STORM,1,0,0,0,2,0,0,0,0,0
Oct-01,DROUGHT,7,0,0,0,0,0,0,0,0,0
Oct-01,FLOOD,33,2,0,0,0,1642,93505,0,0,9025
Oct-01,PEST OUTBREAK,4,0,0,0,0,0,0,0,0,0
Mar-02,FIRE,1,0,0,0,6,0,30,0,0,0
Mar-02,LIGHTNING,1,0,1,0,0,0,0,0,0,0
Mar-02,STORM,4,0,0,0,21,9,102,0,0,0
Apr-02,LIGHTNING,2,2,0,0,0,0,0,0,0,0
Apr-02,RIVER BANK COLLAPSE,1,0,0,0,0,0,0,0,0,0
Apr-02,STORM,2,0,6,0,2,76,397,0,0,0
May-02,DROUGHT,3,0,0,0,0,0,0,0,0,0
May-02,RIVER BANK COLLAPSE,1,0,0,0,0,0,0,0,0,0
Jun-02,DROUGHT,7,0,0,0,0,0,287564,0,0,0
Jun-02,RIVER BANK COLLAPSE,1,0,0,0,0,0,0,0,0,0
Jun-02,STORM,2,0,0,0,57,9,224,0,0,0
Jul-02,DROUGHT,41,0,0,0,0,0,480727,0,0,0
Aug-02,DROUGHT,12,0,0,0,0,0,74272,0,0,0
Aug-02,FLOOD,11,0,0,0,0,0,60355,0,0,0
Sep-02,FLOOD,44,10,0,0,37,886,843855,0,0,70404
Sep-02,RIVER BANK COLLAPSE,1,0,0,0,0,0,0,0,0,0
Sep-02,STORM,2,0,0,0,6,55,0,0,0,0
Oct-02,DROUGHT,6,0,0,0,0,0,0,0,0,0
Oct-02,FLOOD,19,1,0,0,0,487,52286,0,0,18800
Nov-02,DROUGHT,8,0,0,0,0,0,0,0,0,0
Nov-02,FLOOD,3,0,0,0,0,0,3825,0,0,0
Nov-02,PEST OUTBREAK,6,0,0,0,0,0,0,0,0,0
Feb-03,FIRE,1,0,0,0,5,0,24,0,0,0
Mar-03,FIRE,1,0,0,0,0,0,5,0,0,0
Mar-03,STORM,2,0,0,0,10,1056,5121,0,0,0
Apr-03,FIRE,1,0,0,0,16,0,76,0,0,0
Apr-03,LIGHTNING,1,2,0,0,0,0,0,0,0,0
May-03,LIGHTNING,2,2,0,0,0,0,0,0,0,0
