"Year - Month","Event","DataCards","Deaths","Injured","Missing","Houses Destroyed","Houses Damaged","Directly affected","Indirectly Affected","Relocated","Evacuated"
"1996/06","DROUGHT",2,0,0,0,0,0,0,0,0,0
"1996/07","DROUGHT",4,0,0,0,0,0,0,0,0,0
"1996/09","FLOOD",15,135,2,0,0,2810,1345191,0,0,0
"1996/10","FLOOD",2,34,0,0,0,479,12104,0,0,0
"1996/11","FLOOD",17,0,0,0,0,0,0,0,0,0
"1996/11","STORM",1,0,0,0,0,0,0,0,0,0
"1997/06","DROUGHT",3,0,0,0,0,0,0,0,0,0
"1997/07","DROUGHT",4,0,0,0,0,0,0,0,0,0
"1997/09","FLOOD",4,0,0,0,0,0,0,0,0,0
"1997/12","DROUGHT",14,0,0,0,0,0,0,0,0,0
"1998/06","DROUGHT",2,0,0,0,0,0,0,0,0,0
"1998/07","DROUGHT",4,0,0,0,0,0,0,0,0,0
"1998/08","DROUGHT",1,0,0,0,0,0,0,0,0,0
"1998/09","FLOOD",11,0,0,0,0,0,0,0,0,0
"1999/06","DROUGHT",2,0,0,0,0,0,0,0,0,0
"1999/07","DROUGHT",4,0,0,0,0,0,0,0,0,0
"1999/09","FLOOD",13,3,0,0,1,2,7849,0,0,675
"1999/10","FLOOD",8,0,0,0,0,0,0,0,0,0
"2000/02","LIGHTNING",1,3,0,0,0,0,0,0,0,0
"2000/03","LIGHTNING",1,1,0,0,0,0,0,0,0,0
"2000/03","STORM",4,4,0,0,56,85,0,0,0,0
"2000/04","LIGHTNING",1,1,0,0,0,0,0,0,0,0
"2000/04","STORM",4,2,16,0,75,591,0,0,0,0
"2000/05","STORM",3,0,0,0,152,0,33,0,0,0
"2000/06","DROUGHT",2,0,0,0,0,0,0,0,0,0
"2000/06","STORM",1,0,0,0,0,0,33,0,0,0
"2000/07","DROUGHT",5,0,0,0,0,0,0,0,0,0
"2000/07","FLOOD",5,3,0,0,7,0,30185,0,0,3161
"2000/07","STORM",1,0,4,0,26,0,0,0,0,0
