Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1899/12,DROUGHT,23,0,0,0,0,0,0,46218,0,0
Sep-57,FLOOD,1,0,0,0,0,0,0,1000,0,0
Sep-58,WINDSTORM,1,0,0,0,3,0,0,0,0,0
Sep-61,FLOOD,1,0,0,0,0,0,0,15000,0,0
Sep-77,FLOOD,1,0,0,0,0,0,0,900,0,0
Sep-78,FLOOD,1,12,0,0,30,1,0,0,0,0
Sep-79,DROUGHT,1,0,0,0,0,0,0,0,0,0
Sep-85,DROUGHT,1,0,0,0,0,0,0,0,0,0
Sep-85,FLOOD,2,0,0,0,38,0,0,5000,0,0
Sep-86,FLOOD,3,0,0,0,0,0,0,508516,0,0
Sep-88,PLAGUE,2,0,0,0,0,0,0,0,0,0
Jan-89,FIRE,1,0,0,0,70,0,0,0,0,0
Feb-89,FIRE,2,52,0,0,0,0,0,0,438,0
Sep-89,FIRE,4,54,1,0,0,0,0,0,657,0
Sep-89,HAILSTORM,1,5,0,0,42,0,0,0,0,0
Nov-89,FIRE,1,2,1,0,0,0,0,0,0,0
Sep-90,DROUGHT,2,0,0,0,0,0,0,800000,0,0
Nov-90,PLAGUE,1,0,0,0,0,0,0,0,0,0
1991/00,PLAGUE,3,0,0,0,0,0,0,0,0,0
Apr-91,FIRE,1,0,0,0,20,0,0,0,0,0
Jul-91,CONFLICT,1,2,0,0,0,0,0,0,0,0
Sep-91,FIRE,2,0,0,0,0,0,0,0,0,0
Sep-91,FLOOD,1,0,0,0,0,0,0,51449,0,0
Sep-91,PLAGUE,2,0,0,0,0,0,0,0,0,0
Oct-91,FIRE,1,0,2,0,30,0,0,0,0,0
Sep-92,DROUGHT,2,3915,0,0,0,0,0,297533,0,0
Sep-92,FLOOD,7,0,0,0,10,0,0,241588,300,0
Sep-92,HAILSTORM,1,0,0,0,0,0,0,0,0,0
Sep-92,Land slide,3,6,0,0,0,0,0,0,830,0
Sep-92,PLAGUE,4,0,0,0,0,0,0,0,0,0
Jan-93,DROUGHT,1,0,0,0,0,0,0,0,0,0
Jan-93,PLAGUE,1,0,0,0,0,0,0,0,0,0
Feb-93,EARTHQUAKE,1,0,7,0,12,0,0,0,0,0
Mar-93,FIRE,3,0,0,0,40,0,0,5,0,0
Apr-93,FLOOD,2,4,1,0,0,0,0,0,500,0
Apr-93,Land slide,1,2,6,0,0,0,0,0,0,0
May-93,PLAGUE,9,0,0,0,0,0,0,0,0,0
