Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
2020/70,FLOOD,1,0,0,0,0,13,0,0,0,0
Dec-11,DOMESTIC FIRE,3,0,0,0,0,3,0,0,0,0
Jan-12,BUSH FIRE,3,0,0,0,0,0,0,0,0,0
Jan-12,DOMESTIC FIRE,13,52,0,0,67,6,0,0,0,0
Jan-12,INDUSTRIAL FIRE,1,0,0,0,0,0,0,0,0,0
Jan-12,OTHER,1,2,0,0,0,0,0,0,0,0
Jan-12,RAINSTORM,1,0,0,0,0,0,0,0,0,0
Jan-12,TIDAL WAVES,1,0,0,0,0,0,0,0,0,0
Feb-12,BUSH FIRE,9,0,0,0,16,5,0,0,0,0
Feb-12,DOMESTIC FIRE,14,0,0,0,29,2,0,0,0,0
Feb-12,FLOOD,3,0,0,0,4,0,0,0,0,0
Feb-12,OTHER,1,13,0,0,0,0,0,0,0,0
Feb-12,RAINSTORM,5,0,0,0,190,77,0,0,0,0
Feb-12,ROAD TRAFFIC ACCIDENT,1,2,6,0,0,0,0,0,0,0
Feb-12,STORM,1,0,0,0,0,17,0,0,0,0
Feb-12,WINDSTORM,17,0,0,0,105,115,0,0,0,0
Mar-12,DOMESTIC FIRE,7,0,0,0,5,8,0,0,0,0
Mar-12,OTHER,1,0,0,0,0,1,0,0,0,0
Mar-12,RAINSTORM,5,0,0,0,2,25,0,0,0,0
Mar-12,WINDSTORM,12,0,0,0,79,24,0,0,0,0
Apr-12,DOMESTIC FIRE,2,0,0,0,0,0,0,0,0,0
Apr-12,FLOOD,3,0,0,0,51,4,0,0,0,0
Apr-12,RAINSTORM,27,0,0,0,203,314,0,0,0,0
Apr-12,WINDSTORM,1,0,0,0,9,0,0,0,0,0
2012/21,BUSH FIRE,1,0,1,0,1,0,0,0,0,0
Feb-13,DOMESTIC FIRE,1,0,0,0,2,0,0,0,0,0
Feb-14,BUSH FIRE,1,0,0,0,0,0,0,0,0,0
Dec-14,DOMESTIC FIRE,1,2,0,0,0,0,0,0,0,0
Jan-15,DOMESTIC FIRE,19,2,0,0,29,0,0,0,0,0
Feb-15,DOMESTIC FIRE,3,0,0,0,0,0,0,0,0,0
Mar-15,DOMESTIC FIRE,3,0,2,0,0,0,0,0,0,0
Mar-15,FLOOD,3,0,0,0,0,0,0,0,0,0
Apr-15,EXPLOSION,1,0,1,0,0,0,0,0,0,0
May-15,DOMESTIC FIRE,2,1,0,0,0,0,0,0,0,0
