Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1895/01,EARTHQUAKE,1,1000,0,0,0,0,0,0,0,0
Apr-05,EARTHQUAKE,1,10,0,0,0,0,0,0,0,0
Jun-05,FLOOD,2,0,0,0,0,0,0,0,0,0
Jan-09,EARTHQUAKE,2,13000,0,0,0,0,0,0,0,0
May-29,EARTHQUAKE,1,3200,0,0,0,0,0,0,0,0
May-30,EARTHQUAKE,1,2514,0,0,0,0,0,0,0,0
Apr-48,FLOOD,1,0,0,0,0,0,0,0,0,0
Feb-50,FLOOD,1,0,0,0,0,0,0,0,0,0
Sep-51,FLOOD,1,0,0,0,0,240,0,0,0,0
Oct-51,FLOOD,1,0,0,0,0,0,0,0,0,0
May-52,FLOOD,1,3,0,0,0,3751,0,0,0,0
Sep-52,FLOOD,2,0,0,0,0,142,0,0,0,0
May-53,FLOOD,1,0,0,0,0,0,0,0,0,0
Jul-53,FLOOD,1,2,0,0,0,20,0,0,0,0
Apr-54,FLOOD,2,0,0,0,0,200,0,0,0,0
Jul-54,FLOOD,2,2167,0,0,0,600,0,0,0,0
Aug-54,FLOOD,1,0,0,0,0,0,0,0,0,0
Apr-55,FLOOD,4,1100,0,0,0,0,0,0,0,0
Jun-55,FLOOD,1,3,0,0,0,5,0,0,0,0
Jul-55,FLOOD,1,2,0,0,0,20,0,0,0,0
Apr-56,FLOOD,5,0,0,0,0,90,0,0,0,0
May-56,FLOOD,25,605,0,0,0,1012,0,0,0,0
Jun-56,FLOOD,12,301,0,0,0,792,0,0,0,0
Jul-56,FLOOD,42,617,0,0,0,6497,0,0,0,0
Aug-56,FLOOD,4,480,0,0,0,1612,0,0,0,0
Nov-56,EARTHQUAKE,1,350,0,0,0,0,0,0,0,0
Mar-57,FLOOD,3,3,0,0,0,0,0,0,0,0
Apr-57,FLOOD,3,25,0,0,0,7,0,0,0,0
May-57,FLOOD,8,6,2,0,0,75,0,0,0,0
Jun-57,EARTHQUAKE,1,1500,0,0,0,0,0,0,0,0
Aug-57,FLOOD,1,0,0,0,0,19,0,0,0,0
Sep-57,FLOOD,4,65,25,0,0,20,0,0,0,0
Oct-57,FLOOD,4,1,0,0,0,266,0,0,0,0
Nov-57,FLOOD,10,2,0,0,0,141,0,0,0,0
Dec-57,FLOOD,1,0,0,0,0,0,0,0,0,0
Jan-58,FLOOD,1,0,0,0,0,0,0,0,0,0
May-58,FLOOD,11,70,46,0,0,8200,0,0,0,0
Jun-58,FLOOD,8,10,0,0,0,305,0,0,0,0
Oct-58,EARTHQUAKE,1,132,200,0,0,0,0,0,0,0
Apr-60,EARTHQUAKE,1,480,0,0,0,0,0,0,0,0
May-60,FLOOD,3,2,0,0,0,4,0,0,0,0
Jan-61,FLOOD,1,0,0,0,0,5000,0,0,0,0
Mar-61,FLOOD,2,0,0,0,0,300,0,0,0,0
Apr-61,FLOOD,1,0,0,0,0,10,0,0,0,0
Apr-62,FLOOD,2,1,0,0,0,6,0,0,0,0
Sep-62,EARTHQUAKE,2,24200,5800,0,0,50,0,100000,0,0
May-63,FLOOD,15,21,0,0,0,1337,0,0,0,0
Jun-63,FLOOD,1,0,0,0,0,0,0,0,0,0
Aug-63,FLOOD,9,25,1,0,0,726,0,0,0,0
Oct-63,FLOOD,8,0,0,0,0,372,0,0,0,0
