Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Jul-81,EPIDEMIC,1,0,4,0,0,0,0,715,0,0
Mar-82,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Apr-82,FLOOD,3,1,0,2,0,0,0,0,0,0
Apr-82,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
May-82,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
May-82,FLASH FLOOD,1,7,30,3,0,0,0,0,0,0
May-82,FLOOD,8,0,0,0,0,0,0,0,0,0
May-82,LIQUEFACTION,1,2,27,2,0,0,0,0,0,32
May-82,RAINS,1,7,30,3,0,3,0,0,0,0
Jun-82,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
Jul-82,FOREST FIRE,2,0,0,0,0,0,0,0,0,0
Aug-82,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
Sep-82,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
Nov-82,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
Dec-82,FLOOD,1,0,0,0,0,0,0,0,0,0
Dec-82,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
Jan-83,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Feb-83,AVALANCHE,1,0,0,0,0,0,0,0,0,0
Feb-83,FLASH FLOOD,2,0,0,0,0,0,0,0,0,0
Feb-83,FLOOD,1,0,0,0,0,0,0,0,0,0
Feb-83,SNOWSTORM,1,0,3,0,0,0,0,0,0,15
Mar-83,FLASH FLOOD,1,0,0,0,0,0,0,2,0,0
Mar-83,FLOOD,3,0,200,0,0,0,0,0,0,100
Mar-83,SNOWSTORM,1,0,0,0,0,0,0,0,0,0
Jul-83,FOREST FIRE,4,0,0,0,0,0,0,0,0,0
Apr-84,FLOOD,1,0,0,0,0,0,0,0,0,0
Aug-84,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Dec-84,FLOOD,1,1,0,0,0,0,0,0,0,0
Jan-85,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Feb-85,FLASH FLOOD,4,0,0,0,0,11,0,8,0,0
Feb-85,FLOOD,3,0,0,0,0,3,0,0,0,0
Feb-85,SNOWSTORM,1,0,0,0,0,0,0,0,0,0
Mar-85,FLASH FLOOD,2,0,0,0,0,0,0,0,0,0
Mar-85,SNOWSTORM,1,0,4,0,0,0,0,0,0,0
Nov-85,FLOOD,1,0,0,0,0,0,0,0,0,0
Dec-85,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Dec-85,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
Apr-86,FLOOD,1,0,0,0,0,0,0,0,0,0
Nov-86,FLASH FLOOD,3,0,40,0,0,0,0,0,0,0
Nov-86,FLOOD,3,3,10,0,0,0,0,194,0,0
Nov-86,LANDSLIDE,1,0,0,0,0,3,0,0,0,0
Feb-87,FLOOD,2,0,0,0,0,0,0,0,0,0
Apr-87,FLASH FLOOD,1,0,4,0,0,0,0,0,0,0
Oct-87,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Dec-87,FLOOD,1,9,0,0,0,0,0,29,0,0
Jan-88,FLASH FLOOD,2,0,0,0,0,5,0,0,0,0
Jan-88,FLOOD,3,0,1,0,0,8,0,0,0,0
