Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Aug-06,FLOOD,2,1005,4,0,1183,0,3012,0,0,0
Aug-54,FLOOD,14,0,0,0,1218,0,1421,0,0,0
Aug-54,THUNDERSTORM,1,0,0,0,28,0,0,0,0,0
Dec-73,DROUGHT,1,0,0,0,0,0,0,6000000,0,0
Aug-74,FLOOD,1,0,0,0,100,0,500,0,0,0
1984/00,Epizooty,55,0,0,0,0,0,0,2588,0,0
1985/00,Epizooty,13,0,0,0,0,0,0,627,0,0
1986/00,Epizooty,27,0,0,0,0,0,0,912,0,0
1991/00,Epizooty,53,0,0,0,0,0,0,864,0,0
1992/00,Epizooty,70,0,0,0,0,0,0,1214,0,0
1993/00,Epizooty,53,0,0,0,0,0,0,2218,0,0
1994/00,Epizooty,21,0,0,0,0,0,0,975,0,0
Aug-94,FLOOD,1,0,0,0,40,0,0,0,0,0
Sep-94,FLOOD,2,0,0,0,0,312,268,0,0,0
1995/00,Epizooty,63,0,0,0,0,0,0,1914,0,0
May-95,EPIDEMIC,1,41,0,0,0,0,0,195,0,0
May-95,FLOOD,2,0,0,0,11,0,54,0,0,0
Jul-95,FLOOD,1,1,2,0,0,0,0,0,0,0
Aug-95,FLOOD,1,0,0,0,134,0,0,0,0,0
Aug-95,THUNDERSTORM,1,3,0,0,0,0,0,3,0,0
Jun-96,FLOOD,1,2,37,0,1,0,0,0,0,0
Jul-96,FLOOD,1,0,0,0,40,0,500,0,0,0
Aug-96,FLOOD,2,0,0,0,7535,0,1500,0,0,0
May-97,FLOOD,1,0,0,0,0,0,0,0,0,0
Jul-97,FLOOD,1,0,0,0,70,0,0,0,0,0
Aug-97,FLOOD,2,6,0,0,0,0,0,0,0,0
Aug-98,FLOOD,3,8,0,0,180,294,123,0,0,0
Sep-98,FLOOD,1,0,0,0,0,0,0,0,0,0
Jul-99,FLOOD,1,0,0,0,0,0,0,0,0,0
Aug-99,DROUGHT,1,0,0,0,0,0,589,0,0,0
Aug-99,FLOOD,63,22,7,1,1571,964,7134,250,0,0
Sep-99,FLOOD,2,2,0,0,178,675,478,0,0,0
2000/00,DROUGHT,1,0,0,0,0,0,0,13692,0,0
Jun-01,DROUGHT,37,0,0,0,0,0,0,573744,0,0
Jun-01,FLOOD,1,0,0,0,0,0,0,6490,0,0
Jul-01,FLOOD,2,0,0,0,1189,0,2180,0,0,0
Jul-01,PEAT,6,0,0,0,0,0,0,0,0,0
2002/00,DROUGHT,31,0,0,0,0,0,0,476643,0,0
Jun-02,DROUGHT,136,0,0,0,0,0,0,1797190,0,0
Aug-02,FLOOD,2,1,1,0,0,0,2,2,0,0
May-03,PEAT,4,0,0,0,0,0,0,0,0,0
Jul-03,FLOOD,1,0,0,0,54,41,0,0,0,0
Aug-03,FLOOD,5,3,7,0,2220,0,1588,12884,0,0
Aug-03,LOCUST CRISIS,92,0,0,0,0,0,3457,624068,0,0
Sep-03,FLOOD,1,2,6,0,15,0,0,0,0,0
2004/00,DROUGHT,6,0,0,0,0,0,0,139555,0,0
2004/00,EPIDEMIC,18,0,0,0,0,0,0,0,0,0
2004/00,LOCUST CRISIS,2,0,0,0,0,0,0,0,0,0
Jan-04,FLOOD,1,0,0,0,0,41,0,0,0,0
Apr-04,Epizooty,1,0,0,0,0,0,0,60,0,0
May-04,LOCUST CRISIS,9,0,0,0,0,0,0,0,0,0
Jun-04,DROUGHT,162,0,0,0,0,0,0,1142648,0,0
Jun-04,FLOOD,2,0,0,0,3,9,0,2283,0,0
Jun-04,LOCUST CRISIS,8,0,0,0,0,0,0,0,0,0
Jul-04,LOCUST CRISIS,42,0,0,0,0,0,0,0,0,0
Aug-04,Epizooty,2,0,0,0,0,0,0,220,0,0
Aug-04,FLOOD,11,1,1,0,8,110,0,0,0,0
Aug-04,LOCUST CRISIS,236,0,0,0,0,0,0,0,0,0
Sep-04,Epizooty,6,0,0,0,0,0,0,2512,0,0
Sep-04,LOCUST CRISIS,178,0,0,0,0,0,0,0,0,0
Oct-04,Epizooty,4,0,0,0,0,0,0,2315,0,0
Oct-04,LOCUST CRISIS,91,0,0,0,0,0,0,0,0,0
Nov-04,Epizooty,2,0,0,0,0,0,0,750,0,0
Nov-04,LOCUST CRISIS,8,0,0,0,0,0,0,0,0,0
Dec-04,Epizooty,3,0,0,0,0,0,0,562,0,0
Dec-04,LOCUST CRISIS,146,0,0,0,0,0,0,0,0,0
2005/00,DROUGHT,44,0,0,0,0,0,0,566460,0,0
2005/00,FLOOD,1,0,0,0,0,0,0,21453,0,0
2005/00,HAILSTORM,1,0,0,0,0,0,0,13250,0,0
Jan-05,EPIDEMIC,2,0,0,0,0,0,0,0,0,0
Jan-05,Epizooty,1,0,0,0,0,0,0,50,0,0
Feb-05,Epizooty,1,0,0,0,0,0,0,125,0,0
Mar-05,Epizooty,3,0,0,0,0,0,0,911,0,0
Apr-05,DROUGHT,10,0,0,0,0,0,0,88722,0,0
May-05,DROUGHT,1,0,0,0,0,0,0,20786,0,0
May-05,Epizooty,3,0,0,0,0,0,0,452,0,0
Jun-05,DROUGHT,60,0,0,0,0,0,0,719668,0,0
Jun-05,Epizooty,2,0,0,0,0,0,0,739,0,0
Jul-05,Epizooty,3,0,0,0,0,0,0,6404,0,0
Aug-05,Epizooty,4,0,0,0,0,0,0,9343,0,0
Aug-05,FLOOD,1,4,0,3,0,0,0,0,0,0
Sep-05,Epizooty,3,0,0,0,0,0,0,523,0,0
Oct-05,EPIDEMIC,5,1,0,0,0,0,0,12,0,0
Oct-05,Epizooty,3,0,0,0,0,0,0,320,0,0
Oct-05,FOWL SMALLPOX,1,15,0,0,0,0,0,3100,0,0
Nov-05,Epizooty,11,0,0,0,0,0,0,3346,0,0
Dec-05,Epizooty,11,0,0,0,0,0,0,12655,0,0
2006/00,DROUGHT,16,0,0,0,0,0,0,159569,0,0
2006/00,FLOOD,1,0,0,0,0,0,0,7748,0,0
Jan-06,Epizooty,10,0,0,0,0,0,0,8652,0,0
Feb-06,EPIDEMIC,10,3,0,0,0,0,54,0,0,0
Feb-06,Epizooty,11,0,0,0,0,0,0,10853,0,0
Mar-06,Epizooty,10,0,0,0,0,0,0,3784,0,0
Mar-06,FOWL SMALLPOX,1,1,0,0,0,0,0,12,0,0
Apr-06,Epizooty,1,0,0,0,0,0,0,859,0,0
May-06,Epizooty,4,0,0,0,0,0,0,1487,0,0
Jun-06,DROUGHT,10,0,0,0,0,0,0,101515,0,0
Jun-06,Epizooty,6,0,0,0,0,0,0,3150,0,0
Jun-06,PEAT,6,0,0,0,0,0,0,0,0,0
Jul-06,Epizooty,1,0,0,0,0,0,0,50,0,0
Jul-06,FLOOD,1,0,0,0,16,6,415,0,0,0
