Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Oct-52,STORM,2,0,0,0,0,0,0,0,0,0
Jul-56,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Mar-75,URBAN FIRE,2,0,0,0,0,0,0,640,0,0
1980/00,RIVERBANK EROSION,2,0,0,0,0,0,0,0,0,0
Apr-80,FIRE,1,0,0,0,2183,0,8372,0,0,0
May-80,FIRE,1,0,0,0,769,0,4441,0,0,0
Apr-81,FIRE,1,0,0,0,5206,0,28588,0,0,0
May-81,FIRE,1,0,0,0,6242,0,3558,0,0,0
Feb-82,FIRE,1,0,0,0,1091,0,6548,0,0,0
Apr-82,FIRE,1,0,0,0,855,0,6840,0,0,0
Apr-83,FIRE,1,0,0,0,435,0,2667,0,0,0
Feb-84,FIRE,1,0,0,0,331,0,1832,0,0,0
Mar-84,FIRE,1,0,0,0,2752,0,23250,0,0,0
May-84,EPIDEMIC/PANDEMIC,1,28,0,0,0,0,0,0,940,0
May-84,FIRE,1,0,0,0,722,0,1331,0,0,0
Feb-85,FIRE,1,0,0,0,250,0,3500,0,0,0
Apr-85,FIRE,1,0,0,0,403,0,3224,0,0,0
Dec-85,FIRE,1,0,0,0,272,0,1837,0,0,0
Feb-86,FIRE,2,0,0,0,2328,0,16237,0,0,0
Mar-86,FIRE,1,0,0,0,1200,0,3639,0,0,0
Mar-87,FIRE,1,0,0,0,178,0,270,0,0,0
Feb-88,FIRE,1,0,0,0,435,0,2186,0,0,0
Mar-88,FIRE,3,136,62,0,2394,0,20449,0,0,0
Apr-88,FIRE,1,0,0,0,565,0,4606,0,0,0
Oct-88,FIRE,1,0,3,0,794,0,5291,0,0,0
Nov-88,FIRE,2,0,0,0,2151,0,15456,0,0,0
Feb-89,FIRE,2,0,0,0,2156,0,21107,0,0,0
Mar-89,FIRE,1,0,0,0,320,0,2274,0,0,0
Apr-89,FIRE,3,7,5,0,1057,0,5709,0,0,0
Jul-89,FIRE,1,0,0,0,1563,0,9415,0,0,0
Aug-89,FIRE,6,0,0,0,56,0,0,0,0,0
Oct-89,FIRE,2,0,0,0,2,0,0,0,0,0
Feb-90,FIRE,2,0,0,0,1266,0,8674,0,0,0
Mar-90,FIRE,1,0,0,0,324,0,1361,0,0,0
Apr-90,FIRE,6,1,0,0,529,0,2877,0,0,0
May-90,FIRE,2,0,0,0,190,0,0,0,0,0
Jun-90,STORM,2,0,0,0,0,26,134,0,0,0
Nov-90,FIRE,2,0,0,0,98,0,0,0,0,0
1991/00,URBAN FIRE,2,0,0,0,28,0,114,0,0,0
Feb-91,FIRE,2,0,0,0,367,0,2015,0,0,0
Mar-91,FIRE,11,0,0,0,1751,0,7557,0,0,0
Apr-91,FIRE,4,31,0,0,5039,0,37512,0,0,0
Aug-91,FIRE,2,0,0,0,30,0,0,0,0,0
Oct-91,FIRE,2,0,0,0,10,0,0,0,0,0
Mar-92,FIRE,3,0,0,0,1774,0,12982,0,0,0
Apr-92,FIRE,3,0,0,0,918,0,2492,0,0,0
May-92,FIRE,2,0,0,0,54,0,0,0,0,0
Sep-92,FIRE,2,0,0,0,633,0,799,0,0,0
Dec-92,FIRE,2,0,0,0,1471,0,501,0,0,0
Mar-93,FIRE,1,0,0,0,0,0,74,0,0,0
Apr-93,FIRE,3,1,0,0,703,0,5067,0,0,0
May-93,FIRE,3,1,0,0,2579,0,11375,0,0,0
Jun-93,THUNDER LIGHTING STROKE,1,0,0,0,0,0,0,0,0,0
Jul-93,FIRE,1,0,0,0,0,0,520,0,0,0
Oct-93,FIRE,1,0,0,0,66,0,0,0,0,0
Nov-93,FIRE,1,0,0,0,102,0,766,0,0,0
Dec-93,FIRE,2,0,0,0,765,0,3996,0,0,0
Jan-94,FIRE,2,0,0,0,379,0,1789,0,0,0
Feb-94,FIRE,2,0,0,0,30,0,0,0,0,0
Mar-94,FIRE,5,0,0,0,1020,0,6091,0,0,0
Apr-94,FIRE,1,0,0,0,147,0,713,0,0,0
May-94,FIRE,7,0,0,0,422,0,1249,0,0,0
Jul-94,FIRE,2,0,0,0,26,0,0,0,0,0
Oct-94,FIRE,2,0,0,0,4,0,0,0,0,0
Mar-95,FIRE,6,4,37,0,1595,0,8330,0,0,0
Apr-95,FIRE,6,0,0,0,1326,0,9191,0,0,0
May-95,FIRE,7,0,0,0,186,0,607,0,0,0
Jan-96,FIRE,3,0,0,0,1197,0,2000,0,0,0
Feb-96,FIRE,2,0,0,0,40,0,0,0,0,0
Apr-96,FIRE,2,0,0,0,16,0,0,0,0,0
Jun-96,FIRE,2,0,0,0,4,0,0,0,0,0
Jan-97,FIRE,3,0,0,0,773,0,0,0,0,0
Mar-97,FIRE,3,0,0,0,267,0,0,0,0,0
Apr-97,FIRE,2,0,0,0,30,0,0,0,0,0
Jun-97,FIRE,2,0,0,0,10,0,0,0,0,0
Jun-97,FLASH FLOOD,2,0,0,0,0,0,0,0,0,0
Jul-97,FIRE,2,0,0,0,2,0,0,0,0,0
Aug-97,FIRE,2,0,0,0,2,0,0,0,0,0
Oct-97,FIRE,1,0,0,0,455,0,0,0,0,0
Nov-97,FIRE,1,0,0,0,0,0,0,0,0,0
Dec-97,FIRE,2,0,0,0,2,0,0,0,0,0
Feb-98,FIRE,2,0,0,0,681,0,3507,0,0,0
Mar-98,FIRE,4,0,0,0,100,3,1268,0,0,0
Apr-98,FIRE,6,0,0,0,639,0,1782,0,0,0
May-98,FIRE,4,0,0,0,10,0,0,0,0,0
Jun-98,STORM,2,0,0,0,54,0,370,0,0,0
Jul-98,FIRE,1,0,0,0,5,0,43,0,0,0
Oct-98,FIRE,2,0,0,0,32,0,0,0,0,0
Nov-98,FIRE,1,0,0,0,17,0,91,0,0,0
Nov-98,INDUSTRIAL FIRE,2,0,0,0,0,0,0,0,0,0
Dec-98,FIRE,2,0,0,0,293,0,1182,0,0,0
Feb-99,FIRE,5,0,0,0,744,0,2151,0,0,0
Mar-99,FIRE,5,1,0,0,1804,0,9164,0,0,0
Mar-99,FOREST FIRE,2,0,0,0,302,0,3436,0,0,0
Jun-99,STORM,3,0,0,0,0,16,69,0,0,0
Jul-99,FLOOD,1,0,0,0,0,1080,5128,0,0,0
Jul-99,STORM,10,0,0,0,40,56,1141,0,0,0
Aug-99,STORM,13,0,0,0,0,579,3040,0,0,0
Sep-99,URBAN FIRE,2,0,0,0,28,0,114,0,0,0
Oct-99,FLOOD,2,0,0,0,0,486,2402,0,0,0
Oct-99,RIVER FLOOD,2,0,0,0,952,0,3624,0,0,0
