Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Jan-71,FIRE,1,4,0,0,0,0,0,0,0,0
Feb-71,FIRE,1,0,0,0,0,8,0,0,0,0
Mar-71,EPIDEMIC,2,17,0,0,0,0,0,0,0,0
Mar-71,FIRE,6,0,0,0,12,0,0,0,0,0
Apr-71,EPIDEMIC,3,5,30,0,0,0,0,0,0,0
Apr-71,FIRE,1,0,0,0,5,0,0,0,0,0
Apr-71,FLOOD,1,0,0,0,0,0,0,0,0,0
Apr-71,HAIL STORM,2,0,0,0,0,0,0,0,0,0
Apr-71,RAINS,1,0,0,0,0,0,0,0,0,0
Apr-71,STORM,2,1,0,0,0,0,0,0,0,0
Apr-71,STRUCT.COLLAPSE,1,1,0,0,0,0,0,0,0,0
Apr-71,THUNDERSTORM,3,4,3,0,0,0,0,0,0,0
May-71,BOAT CAPSIZE,1,5,0,0,0,0,0,0,0,0
May-71,FIRE,3,0,0,0,2,0,0,0,0,0
May-71,FLOOD,1,0,0,0,0,0,0,0,0,0
May-71,HAIL STORM,2,1,2,0,0,0,0,0,0,0
May-71,RAINS,4,0,0,0,1,1,0,0,0,0
May-71,STRUCT.COLLAPSE,1,0,3,0,0,1,0,0,0,0
Jun-71,EPIDEMIC,2,5,0,0,0,0,0,50,0,0
Jun-71,FIRE,2,0,0,0,26,0,0,0,0,0
Jun-71,FLOOD,10,9,1,0,31,3,0,675,0,0
Jun-71,LANDSLIDE,7,31,0,0,20,107,0,0,0,0
Jun-71,RAINS,3,0,4,0,2,3,0,0,0,0
Jun-71,STRUCT.COLLAPSE,4,1,4,0,2,3,0,0,0,0
Jun-71,THUNDERSTORM,1,2,0,0,0,0,0,0,0,0
Jul-71,EPIDEMIC,6,25,0,0,0,0,0,0,0,0
Jul-71,FLOOD,5,25,0,0,0,0,0,135,0,0
Jul-71,LANDSLIDE,3,15,0,0,2,0,0,0,0,0
Jul-71,RAINS,1,0,0,0,0,0,0,0,0,0
Jul-71,THUNDERSTORM,1,2,0,0,0,0,0,0,0,0
Aug-71,EPIDEMIC,2,74,0,0,0,0,0,0,0,0
Aug-71,FIRE,2,0,0,0,1,0,0,0,0,0
Aug-71,FLOOD,2,0,0,0,0,16,0,0,0,0
Aug-71,LANDSLIDE,3,4,2,0,2,0,0,0,0,0
Aug-71,RAINS,2,0,0,0,0,0,0,0,0,0
Aug-71,STRUCT.COLLAPSE,7,8,1,0,11,0,0,0,0,0
Sep-71,EPIDEMIC,3,22,0,0,0,0,0,0,0,0
Sep-71,PLAGUE,1,0,0,0,0,0,0,0,0,0
Sep-71,RAINS,2,27,0,0,14,0,0,0,0,0
Oct-71,AVALANCHE,1,0,3,0,0,0,0,0,0,0
Oct-71,EPIDEMIC,1,3,0,0,0,0,0,0,0,0
Oct-71,LANDSLIDE,1,16,0,0,0,0,0,0,0,0
Nov-71,BOAT CAPSIZE,2,2,4,0,0,0,0,0,0,0
Nov-71,HAIL STORM,2,0,0,0,0,0,0,0,0,0
Dec-71,LANDSLIDE,1,2,0,0,0,0,0,0,0,0
Dec-71,PLAGUE,1,0,0,0,0,0,0,0,0,0
Jan-72,FIRE,1,0,0,0,0,0,0,0,0,0
Feb-72,FIRE,1,1,0,0,0,0,0,0,0,0
Mar-72,FIRE,6,2,0,0,12,0,0,0,0,0
Mar-72,HAIL STORM,2,0,0,0,0,0,0,0,0,0
Mar-72,STORM,1,3,0,0,0,0,0,0,0,0
Apr-72,AVALANCHE,1,15,1,0,0,0,0,0,0,0
Apr-72,BOAT CAPSIZE,2,4,0,30,0,0,0,0,0,0
Apr-72,FIRE,9,0,0,0,107,6,0,0,0,0
Apr-72,HAIL STORM,1,0,0,0,0,0,0,0,0,0
Apr-72,THUNDERSTORM,1,0,0,0,0,0,0,0,0,0
May-72,EPIDEMIC,3,15,0,0,0,0,0,29,0,0
May-72,FIRE,12,3,6,0,291,0,0,300,0,0
May-72,HAIL STORM,1,3,1,0,0,0,0,0,0,0
May-72,STORM,2,0,0,0,0,50,0,0,0,0
Jun-72,EPIDEMIC,3,0,0,0,0,0,0,0,0,0
Jun-72,FIRE,4,0,1,0,143,0,0,0,0,0
Jun-72,FLOOD,2,2,0,0,0,0,0,0,0,0
Jun-72,HAIL STORM,1,0,0,0,0,30,0,0,0,0
Jun-72,HEAT WAVE,1,0,0,0,0,0,0,0,0,0
Jun-72,LANDSLIDE,2,15,1,7,3,0,0,0,0,0
Jul-72,EPIDEMIC,3,7,0,0,0,0,0,0,0,0
Jul-72,FIRE,1,0,0,0,7,0,0,0,0,0
Jul-72,FLOOD,13,3,0,0,3,0,0,0,0,0
Jul-72,LANDSLIDE,7,19,8,0,13,0,0,0,0,0
