Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Oct-00,EPIDEMIC,1,1,0,0,0,0,1309,1309,0,0
2010/80,EPIDEMIC,1,0,0,0,0,0,10,10,0,0
Jan-73,DROUGHT,3,0,0,0,0,0,47617,15000,500,0
Jan-74,DROUGHT,2,0,0,0,0,0,0,0,0,0
Jan-75,DROUGHT,1,0,0,0,0,0,0,0,0,0
Jul-78,FLOOD,1,0,0,0,27,0,245,39,0,0
Jan-80,SOCIAL CONFLICTS,1,0,0,0,0,0,0,0,0,0
Aug-80,EPIDEMIC,1,0,0,0,0,0,0,0,0,0
Sep-81,FLOOD,1,0,0,0,0,0,325,65,0,0
Oct-81,FLOOD,6,0,0,0,15,0,1425,225,0,0
Jan-82,EPIZOOTY,1,0,0,0,0,0,455,65,0,0
Aug-82,FLOOD,1,0,0,0,0,0,350,50,0,0
Jan-83,DROUGHT,3,0,0,0,0,0,211260,30180,7498,0
Jan-83,EPIZOOTY,6,0,2,0,0,0,2419,3,0,0
Jan-83,RAVAGERS AND LOCUSTS PILGRIMS,1,0,0,0,0,0,0,0,0,0
Jan-83,SOCIAL CONFLICTS,3,2,0,0,0,0,0,0,0,0
Jul-83,FLOOD,1,0,0,0,0,0,0,0,0,0
Jan-84,DROUGHT,28,0,0,0,0,0,554878,56486,13963,0
Jan-84,EPIZOOTY,6,0,0,0,0,0,54,38,0,0
Jan-84,FOREST FIRE,3,0,0,0,0,0,0,0,0,0
Jan-84,RAVAGERS AND LOCUSTS PILGRIMS,1,0,0,0,0,0,0,0,0,0
Jan-84,SOCIAL CONFLICTS,4,11,0,0,0,0,0,6,0,0
May-84,EPIDEMIC,1,7,0,0,0,0,0,0,0,0
Jul-84,FLOOD,1,0,0,0,0,0,0,0,0,0
Aug-84,FLOOD,1,0,0,0,0,0,0,0,0,0
Nov-84,FLOOD,1,0,0,0,0,0,0,0,0,0
Jan-85,DROUGHT,17,0,0,0,0,0,63623,445361,2296,0
Jan-85,EPIDEMIC,1,0,0,0,0,0,0,0,0,0
Jan-85,EPIZOOTY,12,0,7,0,0,0,88,33,0,0
Jan-85,FOREST FIRE,4,0,0,0,0,0,0,0,0,0
Jan-85,RAVAGERS AND LOCUSTS PILGRIMS,1,0,0,0,0,0,0,0,0,0
Jan-85,SOCIAL CONFLICTS,1,3,0,0,0,0,0,0,0,0
Apr-85,EPIDEMIC,1,0,0,0,0,0,0,0,0,0
Jul-85,FLOOD,1,0,0,0,0,0,0,0,0,0
Nov-85,FLOOD,1,0,0,0,0,0,0,0,0,0
Jan-86,DROUGHT,3,0,0,0,0,0,483020,22287,0,0
Jan-86,EPIZOOTY,6,0,0,0,0,0,1323,95,0,0
Jan-86,FOREST FIRE,3,0,0,0,0,0,0,0,0,0
