Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1979/00,DROUGHT,7,,,,,,,,,
1979/03,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1979/05,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1979/07,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1980/00,DROUGHT,4,,,,,,,,,
1980/02,FLOOD,1,,,,50,,,5000,,
1980/11,CYCLONE,1,,,,,,,,,
1981/00,FLOOD,12,,,,,,,138173,,
1981/01,STORM,1,1,1,,,,,,,
1981/02,FLOOD,1,,,,,,,,,
1981/12,CYCLONE,1,,,,,,,,,
1982/00,DROUGHT,1,100000,,,,,,,,
1982/00,RAINS,1,,,,,,,,,
1982/00,STORM,1,,,,2,,,,,
1982/01,CYCLONE,1,,,,,,,,,
1983/00,DROUGHT,3,,,,,,,,,
1983/00,FLOOD,1,,,,,,,,,
1983/11,DROUGHT,3,,,,,,,,,
1983/12,FLASH FLOOD,1,,,,,,,,,
1984/00,DROUGHT,10,,,,,,,381106,,
1984/01,CYCLONE,4,109,,,,,,,,
1984/01,FLOOD,4,135,,,,,,,,
1984/08,DROUGHT,10,,,,,,,363200,,
1984/12,DROUGHT,5,,,,,,,214500,,
1985/00,DROUGHT,3,,,,,,,908233,,
1985/00,PLAGUE,2,,,,,,,,,
1985/02,FLOOD,6,,,,,,109328,1495,,
1986/00,DROUGHT,1,,,,,,,,,
1986/09,DROUGHT,4,,,,,,,140355,,
1987/01,DROUGHT,1,,,,,,,,,
1988/00,ACCIDENT,1,2,,,,,1,,,
1988/00,DROUGHT,5,,,,,,30000,267557,,36274
1988/00,FLOOD,1,,,,,,,,,
1988/00,PLAGUE,3,,,,,,,,,
1988/01,PLAGUE,1,,,,,,,,,
1988/02,CYCLONE,1,,,,,,,,,
1988/02,FLOOD,5,,,,,,,,,
1988/03,CYCLONE,2,57,11,,28974,7375,3320,7400,,
1988/03,FLASH FLOOD,3,20,,,1389,,731,13861,,
1988/03,FLOOD,4,20,,,690,,,9891,,
1988/03,THUNDER STORM,1,5,,,,,,,,
1988/04,FLOOD,1,7,,,2500,,,194498,3000,
1989/00,DROUGHT,1,,,,,,,,,
1989/00,FOREST FIRE,1,,,,,,,,,
1989/00,PLAGUE,1,,,,,,,,,
1989/01,DROUGHT,1,,,,,,,,,
1989/01,FLASH FLOOD,1,,,,,,,,,
1989/04,FIRE,1,4,,,,,,,,
1990/00,DROUGHT,1,,,,,,,,,
1990/00,FLASH FLOOD,1,,,,,,,,,
1990/00,HEAT WAVE,1,,,,,,,,,
1990/01,PLAGUE,2,,,,,,,,,
1990/03,PLAGUE,1,,,,,,,,,
1990/05,DROUGHT,1,,,,,,,,,
1990/06,PLAGUE,1,,,,,,,,,
1990/10,DROUGHT,1,,,,,,,,,
1991/00,DROUGHT,4,,,,,,,33000,,
1991/00,EPIDEMIC,1,11,,,,,,700,,
1991/00,FLOOD,1,,,,,,,,,
1991/00,HEAT WAVE,1,,,,,,,,,
1991/00,PLAGUE,5,,,,,,,,,
1991/02,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1991/02,FLOOD,1,,,,28,80,,,,
1991/03,FLOOD,1,,,,43,,,,,
1991/06,ALLUVION,1,,,,,,,,,
1991/10,DROUGHT,1,,,,,,,,,
1992/00,BIOLOGICAL,1,1,,,,,,,,
1992/00,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1992/00,DROUGHT,15,,,,,,,707921,,
1992/00,FLASH FLOOD,1,,,,,,,,,
1992/00,PLAGUE,1,,,,,,,,,
1992/00,RAINS,1,,,,,,,,,
1992/01,DROUGHT,1,,,,,,,6000,,
1992/02,DROUGHT,6,,,,,,,158038,,
1992/04,DROUGHT,8,,,,,,,187600,,
1992/05,PLAGUE,1,,,,,,,,,
1992/06,DROUGHT,9,,,,,,,103864,,
1992/06,FLASH FLOOD,1,,,,,,,,,
1992/07,DROUGHT,2,,,,,,,2368,,
1992/07,FLASH FLOOD,1,,,,,,,,,
1992/07,PLAGUE,1,,,,,,,,,
1992/08,EPIDEMIC,1,13,,,,,13,,,
1992/08,FOREST FIRE,1,,,,,,,,,
1992/09,DROUGHT,1,8,,,,,,30000,,
1992/10,FOREST FIRE,1,,,,,,,,,
1992/10,PLAGUE,1,,,,,,,,,
1992/11,EPIDEMIC,3,70,,,,,1543,,,
1992/12,EPIDEMIC,2,21,,,,,243,,,
1992/12,HEAT WAVE,1,,,,,,,,,
1992/12,PLAGUE,1,,,,,,,,,
1993/00,CONFLICT MAN WILD FAUNA,2,,,,,,,15,,
1993/00,DROUGHT,4,,,,,,,750000,,
1993/00,FLOOD,1,,,,,,,293080,,
1993/00,PLAGUE,10,,,,,,,29163,,
1993/00,RAINS,1,,,,37,22,,5000,,32
1993/02,DROUGHT,1,60,,,,,,,,
1993/02,FIRE,1,,,,,,,,,
1993/02,RAINS,1,,,,,,,,,
1993/03,PLAGUE,2,,,,,,,,,
1993/03,RAINS,1,7,,,,,,13,,
1993/04,PLAGUE,1,,,,,,,,,
1993/04,STORM,1,,,,,,,,,
1993/08,PLAGUE,1,,,,,,,,,
1993/10,DROUGHT,1,,,,,,,,,
1993/11,FLASH FLOOD,1,,,,,,,1070,,
1993/11,STORM,1,,,,,,,,,
1993/12,STORM,1,,,,,,,,,
1994/00,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1994/00,DROUGHT,5,4,,,,,,6883,,
1994/00,PLAGUE,7,3,,,,,,1750,,
1994/01,DROUGHT,1,,,,,,,15729,,
1994/01,PLAGUE,3,,,,,,,,,
1994/02,CONFLICT MAN WILD FAUNA,2,2,,,,,9,5,,
1994/02,FLASH FLOOD,1,,,,,,,,,
1994/02,FLOOD,1,,,,,,,,,
1994/02,HEAT WAVE,1,,,,,,,,,
1994/02,PLAGUE,1,,,,,,,,,
1994/03,CYCLONE,24,82,301,316,146839,22,10000,939941,,
1994/03,FOREST FIRE,1,,,,,,,,,
1994/04,PLAGUE,3,,,,,,,,,
1994/06,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1994/08,FLOOD,1,,,,,,,,,
1994/10,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1994/10,FLASH FLOOD,2,,,,,,,,,
1994/12,BIOLOGICAL,1,9,,,,,,7118,,
1995/00,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1995/00,DROUGHT,4,1,,,,,,40506,,
1995/00,EPIDEMIC,1,4,,,,,,156,,
1995/00,PLAGUE,6,,,,,,,,,
1995/01,FLASH FLOOD,3,,,,,,,4180,,
1995/01,FLOOD,1,,,,,,,22000,,
1995/02,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1995/03,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1995/04,CONFLICT MAN WILD FAUNA,1,3,,,,,,17,,
1995/04,DROUGHT,1,,,,,,,5737,,
1995/04,PLAGUE,1,1,,,,,,,,
1995/08,EPIDEMIC,1,,,,,,,,,
1995/08,FOREST FIRE,3,,,,,,,,,
1995/09,DROUGHT,1,1,,,,,,,,
1995/10,CONFLICT MAN WILD FAUNA,2,,,,,,,3618,,
1995/10,DROUGHT,1,,,,,,,3838,,
1995/10,FIRE,1,,,,338,,,2055,,
1995/10,FOREST FIRE,1,,,,,,,,,
1995/10,STRONG WIND,1,,,,,,,,,
1995/11,DROUGHT,1,,,,,,,31000,,
1995/11,STORM,1,2,3,,21,,,,,
1995/12,CONFLICT MAN WILD FAUNA,1,1,,,,,3,,,
1996/00,DROUGHT,1,,,,,,,,,
1996/00,EPIDEMIC,2,337,,,,,4274,269,,
1996/00,FLASH FLOOD,2,,,,,,,,,
1996/00,FLOOD,5,,,,,,,17586,,
1996/00,PLAGUE,1,,,,,,96,96,,
1996/00,RAINS,1,,,,328,,,,,
1996/00,STRONG WIND,1,,,,476,,,,,
1996/01,CYCLONE,11,6,10,,1640,117,,98727,,
